variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,model
b_Intercept,-0.41968187517523325,-0.4199439890905264,0.804926606268428,0.3328637018866187,-1.6581062545428695,0.7491844257681599,1.0017864583745117,2051.532611710824,1561.8310548008926,GPP
b_temp.water,0.12814821654368821,0.12657516072348657,0.06690024119692396,0.06593834203871891,0.019897620173928536,0.24302451860662522,0.9995119933236056,5918.889336173619,3115.690300344779,GPP
b_light,0.1732218417642229,0.17361553550000702,0.033702305741163924,0.03370461273368567,0.11655595516276547,0.22865094471846245,1.0007748005747976,5268.139642999354,3266.6442895722416,GPP
ar[1],0.7945142240345426,0.7947068208293526,0.019019326411667835,0.01890166585552226,0.7629630863024758,0.826070518190205,1.000047634544642,4746.344240197725,2955.764209971025,GPP
sd_site__Intercept,0.8979142356435628,0.5254464656877889,1.0307842187454086,0.5481924916899137,0.05403977723317282,2.9477371189690316,1.0026735121448318,1147.4691976552028,1934.4126015892664,GPP
sigma,0.5735322208704462,0.5733590594732503,0.01256749494389094,0.012469579461094879,0.5533441455376414,0.5942323284118716,1.0012340687765804,4402.124543479411,3144.462254752347,GPP
"r_site[CBP,Intercept]",0.10024273893132395,0.05831806880871414,0.8046559581879862,0.3357229503138134,-1.0541338310216546,1.3828085006481914,1.0010661574805337,2062.280545367016,1562.8227870431165,GPP
"r_site[NHC,Intercept]",-0.08424247909403516,-0.0623776145440858,0.8042382097739252,0.3321872333042995,-1.2644773951280617,1.1454722150737437,1.0022922505674738,2057.6048263856246,1511.4454316543197,GPP
b_Intercept,0.6113585013996394,0.6684570235923932,1.2220157892147367,0.6827483950196737,-1.4339648956452145,2.372308348105255,1.0023576913533514,1738.9237005307618,1356.2019995816443,ER
b_temp.water,0.36051472785101446,0.3588067748492826,0.06616561043567795,0.06569635389755228,0.2537327676024343,0.4708508751177355,1.0013353109577217,2333.56397420536,2359.689023101077,ER
b_light,0.01718737503533908,0.016852572184169856,0.02905433820233133,0.028461460752268516,-0.0310308253018681,0.06424067057732293,0.9998295509776731,3822.1628588811936,3083.367275096518,ER
b_log_Q,-0.00802611320938003,-0.010604553698587187,0.06690096809055063,0.06646970032131076,-0.1132503714220799,0.10514393925689305,1.0033696195095452,1045.4776148564517,1810.2549350502188,ER
ar[1],0.7741757841744024,0.7735559242851016,0.023500799686103684,0.023741846607456277,0.735707960663294,0.8122569790630975,1.0020135896112887,1960.9242668763243,2119.1849152035206,ER
sd_site__Intercept,1.4706465472383405,1.048091427674819,1.337205005655081,0.8319349127864403,0.28565718421995656,4.042645509653988,1.003058153840975,1686.8857151945408,2026.9002461784955,ER
sigma,0.5080530751372803,0.5079671960420589,0.011057905535720117,0.010784643320902641,0.49006773330619335,0.5266663741728151,1.0004152826499064,3309.986367991687,2874.6083940085236,ER
"r_site[CBP,Intercept]",-0.24944012706359647,-0.3007706158021189,1.2242758469178117,0.6756717564255087,-2.010382737279317,1.7829811706800012,1.0023693851688527,1753.4937477274264,1287.7187657984045,ER
"r_site[NHC,Intercept]",0.4063869358606665,0.3450018519861827,1.2239192105874492,0.6871792162441055,-1.3476912090907853,2.4669079619156675,1.002327436260756,1739.151355322543,1360.5219050549354,ER
