Data Collectors,ysi,date,time,airpres_mmHg,distance_m,trib,habitat,depth_cm,temp_c,DO_persat,DO_mgL,SpC_uscm,pH,Notes,NO3.N_mgl,SO4_mgl,Cl_mgl,NPOC_mgl,TN_mgl,NH4.N_mgl,PO4.P_mgl
AMC,StreamPulseAM,2019-03-08,6:05,762.2,50,,,,6.5,98.7,12.13,86.7,7.52,morning,,,,,,,
AMC,StreamPulseAM,2019-03-08,6:09,,150,,,,6.5,99,12.16,86.9,7.45,morning,,,,,,,
AMC,StreamPulseAM,2019-03-08,6:12,,175,1,,,6.9,76.7,9.37,66.9,7.33,morning,,,,,,,
AMC,StreamPulseAM,2019-03-08,6:15,,250,,,,6.5,99.4,12.22,86.9,7.23,morning,,,,,,,
AMC,StreamPulseAM,2019-03-08,6:17,,300,,,,6.5,100,12.28,87,7.18,morning,,,,,,,
AMC,StreamPulseAM,2019-03-08,6:19,,350,,,,6.5,99.9,12.26,87,7.1,morning,,,,,,,
AMC,StreamPulseAM,2019-03-08,6:21,,400,,,,6.5,100.2,12.28,87,7.16,morning,,,,,,,
AMC,StreamPulseAM,2019-03-08,6:23,,450,,,,6.5,100,12.26,87,7.18,morning,,,,,,,
AMC,StreamPulseAM,2019-03-08,6:26,,500,,,,6.5,99.9,12.26,87,7.2,morning,,,,,,,
AMC,StreamPulseAM,2019-03-08,6:28,,550,,,,6.5,100.7,12.29,87,7.11,morning,,,,,,,
AMC,StreamPulseAM,2019-03-08,6:30,,600,,,,6.5,100,12.28,87,7.13,morning,,,,,,,
AMC,StreamPulseAM,2019-03-08,6:32,,650,,,,6.5,99.7,12.24,86.9,7.15,morning,,,,,,,
AMC,StreamPulseAM,2019-03-08,6:34,,700,,,,6.5,100,12.27,87,7.17,morning,,,,,,,
AMC,StreamPulseAM,2019-03-08,6:36,,750,,,,6.5,100.2,12.3,87.1,7.08,morning,,,,,,,
AMC,StreamPulseAM,2019-03-08,6:38,,800,,,,6.5,100,12.2,87,7.12,morning,,,,,,,
AMC,StreamPulseAM,2019-03-08,6:51,761.1,75,1,,,5.5,81.8,10.38,66.2,7.37,morning,,,,,,,
"Alexander Miele, Mike Vlah",WetlandCenterAM,2019-03-08,6:10,762.2,3400,,,,6.7,116,13.72,93,7.93,morning,,,,,,,
"Alexander Miele, Mike Vlah",WetlandCenterAM,2019-03-08,6:14,,3450,,,,6.7,112,13.4,90.3,7.66,morning,,,,,,,
"Alexander Miele, Mike Vlah",WetlandCenterAM,2019-03-08,6:21,,3550,,,,6.7,120,14.45,90.8,7.72,morning,,,,,,,
"Alexander Miele, Mike Vlah",WetlandCenterAM,2019-03-08,6:24,,3600,,,,6.7,113,13.7,90.9,7.61,morning,,,,,,,
"Alexander Miele, Mike Vlah",WetlandCenterAM,2019-03-08,6:26,,3650,,,,6.7,107,12.9,91,7.51,morning,,,,,,,
"Alexander Miele, Mike Vlah",WetlandCenterAM,2019-03-08,6:29,,3700,,,,6.7,101,12.23,90.8,7.44,morning,,,,,,,
"Alexander Miele, Mike Vlah",WetlandCenterAM,2019-03-08,6:36,,3500,,,,6.7,111.5,13.51,89.3,7.47,morning,,,,,,,
"Alexander Miele, Mike Vlah",WetlandCenterAM,2019-03-08,6:40,,3350,,,,6.7,116.2,14.09,79.3,7.49,morning,,,,,,,
"Alexander Miele, Mike Vlah",WetlandCenterAM,2019-03-08,6:43,,3300,,,,6.7,108,13.17,83.5,7.5,morning,,,,,,,
"Alexander Miele, Mike Vlah",WetlandCenterAM,2019-03-08,6:47,,3250,,,,6.7,112.5,13.68,92.1,7.53,morning,,,,,,,
"Alexander Miele, Mike Vlah",WetlandCenterAM,2019-03-08,6:50,,3200,,,,6.7,109.3,1.36,88.3,7.48,morning,,,,,,,
"Alexander Miele, Mike Vlah",WetlandCenterAM,2019-03-08,6:53,,3100,,,,6.7,110.7,13.51,90.2,7.35,morning,,,,,,,
"Alexander Miele, Mike Vlah",WetlandCenterAM,2019-03-08,6:57,761.1,3150,,,,6.7,103.6,12.67,82.9,7.33,morning,,,,,,,
"CAC, ANT",DoyleAM,2019-03-08,6:10,762.2,5950,,,,6.9,108.6,13.24,90.8,7.63,morning,,,,,,,
"CAC, ANT",DoyleAM,2019-03-08,6:13,,6000,,,,6.9,105.1,12.83,90.9,7.52,morning,,,,,,,
"CAC, ANT",DoyleAM,2019-03-08,6:17,,6050,,,,6.9,104.3,12.68,90,7.41,morning,,,,,,,
"CAC, ANT",DoyleAM,2019-03-08,6:21,,6100,,,,6.9,99.9,12.13,91,7.39,morning,,,,,,,
"CAC, ANT",DoyleAM,2019-03-08,6:24,,6150,,,,6.9,99.3,12.12,90.8,7.49,morning,,,,,,,
"CAC, ANT",DoyleAM,2019-03-08,6:28,,6200,,,,6.9,99.7,12.12,91,7.46,morning,,,,,,,
"CAC, ANT",DoyleAM,2019-03-08,6:35,,5900,,,,6.9,100.3,12.21,90.9,7.37,morning,,,,,,,
"CAC, ANT",DoyleAM,2019-03-08,6:40,,5850,,,,6.9,100.5,12.27,90.8,7.51,morning,,,,,,,
"CAC, ANT",DoyleAM,2019-03-08,6:43,,5800,,,,6.9,100.1,12.21,90.7,7.49,morning,,,,,,,
"CAC, ANT",DoyleAM,2019-03-08,6:45,,5750,,,,6.9,101.4,12.37,90.8,7.49,morning,,,,,,,
"CAC, ANT",DoyleAM,2019-03-08,6:48,,5700,,,,6.9,101.5,12.37,90.8,7.48,morning,,,,,,,
"CAC, ANT",DoyleAM,2019-03-08,6:51,761.1,5650,,,,6.9,98.8,12.05,90.8,7.5,morning,,,,,,,
"Alexander Miele, Steve Anderson",WetlandCenter,2019-03-08,13:00,760.7,0,,pool,132,7.2,123,14.8,87,7.22,algae,1.989618214,6.028202392,7.309524117,2.261,0.2486,-0.00203,0.00959
"Alexander Miele, Steve Anderson",WetlandCenter,2019-03-08,13:02,,50,,riffle,38,7.2,127.3,15.3,86.8,7.15,algae (sparse),,,,,,,
"Alexander Miele, Steve Anderson",WetlandCenter,2019-03-08,13:05,,100,,run,89,7.2,129.7,15.59,87,7.13,sand substrate,,,,,,,
"Alexander Miele, Steve Anderson",WetlandCenter,2019-03-08,13:12,,150,,run,91.5,7.2,134.1,15.93,87,7.14,algae,,,,,,,
"Alexander Miele, Steve Anderson",WetlandCenter,2019-03-08,13:16,,175,1,run,38,7.9,97.5,11.6,66.6,6.93,trib,,,,,,,
