distance_m,data_collector,ysi,date,time,depth_cm,temp_C,DO_persat,DO_mgL,SpC_uscm,pH,NO3.N_mgl,SO4_mgl,Cl_mgl,NPOC_mgl,TN_mgl,NH4.N_mgl,PO4.P_mgl,,Notes,Trib upstream (R/L)
0,BAH,streampulse,2019-10-09,9:45,71,18.3,20,1.88,122.3,,0.361305975,3.604872266,9.28198012,4.025,0.1965,0.00997,0.00696,,,
50,BAH,streampulse,2019-10-09,9:58,10,18.3,24.3,2.26,127.3,,,,,,,,,,"dry at 50, sampled in pool 3 m DS",
100,BAH,streampulse,2019-10-09,10:04,30.5,18.1,49.6,4.68,128.7,,,,,,,,,,,
150,BAH,streampulse,2019-10-09,10:10,94,18.7,21,1.96,127.7,,,,,,,,,,,"R, dry"
200,BAH,streampulse,2019-10-09,10:17,114,18.7,12.9,1.19,128.5,,0.271321784,3.100777575,8.849855326,4.475,0.1738,-0.007,0.00515,,,
250,BAH,streampulse,2019-10-09,10:24,79,18.8,27.5,2.56,128.1,,,,,,,,,,,
300,BAH,streampulse,2019-10-09,10:30,11,17.3,13.7,1.31,125,,,,,,,,,,,
350,BAH,streampulse,2019-10-09,10:37,6,17.3,63.2,6.06,132.8,,,,,,,,,,,
400,BAH,streampulse,2019-10-09,10:45,7,17.4,48.9,4.69,127.7,,0.556271724,3.733807377,9.484989708,3.657,0.1888,0.00124,0.00481,,mostly dry across chanel,
450,BAH,streampulse,2019-10-09,10:51,103,18.2,42.5,4,132.5,,,,,,,,,,,
500,BAH,streampulse,2019-10-09,10:55,80,18.7,40.1,3.74,137.9,,,,,,,,,,,"L, dry"
550,BAH,streampulse,2019-10-09,10:59,5,17.3,81.8,7.86,160.9,,,,,,,,,,mostly dry,
600,BAH,streampulse,2019-10-09,11:05,8,17.6,34.7,3.31,163.1,,0.54752326,4.157629564,8.58664925,3.96,0.1621,-0.000679,0.00893,,,
650,BAH,streampulse,2019-10-09,11:09,46.5,17.9,69.5,6.58,176.9,,,,,,,,,,,"R, dry"
700,BAH,streampulse,2019-10-09,11:13,11,17.6,70.2,6.7,149,,,,,,,,,,lots of leaves,
750,BAH,streampulse,2019-10-09,11:17,8.5,18.4,49.4,4.64,139,,,,,,,,,,,
800,BAH,streampulse,2019-10-09,11:21,15,18.2,69.3,6.54,135.5,,0.31631388,2.856632704,8.889781568,3.793,0.1551,0.00597,0.00704,,"film on surface, stuck to syringe",L
850,BAH,streampulse,2019-10-09,11:27,24,17.7,48.3,4.6,141.1,,,,,,,,,,,
900,BAH,streampulse,2019-10-09,11:30,101,18.8,42.6,3.97,133.1,,,,,,,,,,,
950,BAH,streampulse,2019-10-09,11:35,37.5,18.8,52.5,4.89,122.2,,,,,,,,,,,
1000,BAH,streampulse,2019-10-09,11:41,18.5,18.4,68.5,6.43,122.1,,0.366305097,3.366966191,9.405444347,4.026,0.2338,0.0177,0.00525,,,"R, dry"
1050,BAH,streampulse,2019-10-09,,112,19.5,58.6,5.38,126,,,,,,,,,,,
1100,BAH,streampulse,2019-10-09,11:47,123,19.5,64.4,5.92,129.9,,,,,,,,,,,
1150,BAH,streampulse,2019-10-09,11:52,1,,,,,,,,,,,,,,dry,
1200,BAH,streampulse,2019-10-09,11:59,35,18.2,62.2,5.86,134.9,,0.481284897,2.922348019,10.46963227,4.598,0.2341,0.0185,0.0068,,,
1250,BAH,streampulse,2019-10-09,12:03,12.5,19.4,71.4,6.56,131.4,,,,,,,,,,direct sun open canopy,
1300,BAH,streampulse,2019-10-09,12:07,11,18.8,91.8,8.54,122.3,,,,,,,,,,braided chanel,
1350,BAH,streampulse,2019-10-09,12:11,7,18.2,64.3,6.05,133.6,,,,,,,,,,mostly dry,
1400,BAH,streampulse,2019-10-09,12:18,18.5,19.5,73.4,6.72,140.9,,0.355057073,2.750573177,10.55224888,3.002,0.1186,-0.00824,0.00596,,,R
1450,BAH,streampulse,2019-10-09,12:22,49.5,20.1,71.7,6.5,113.2,,,,,,,,,,,
1500,BAH,streampulse,2019-10-09,12:32,72,20.1,62.9,5.71,112.5,,,,,,,,,,,
1550,BAH,streampulse,2019-10-09,12:38,72,20.5,54.5,4.85,112.6,,,,,,,,,,,
1600,BAH,streampulse,2019-10-09,12:44,103,20.5,48.4,4.42,113.9,,0.322562782,4.517400115,7.96410699,5.492,0.2782,0.0185,0.00646,,,
1600,"AD, SC",bernhardt,2019-10-09,10:11,109,20.4,47.7,4.29,125.3,7.14,,,,,,,,,could not reach deepest point,
1650,"AD, SC",bernhardt,2019-10-09,10:24,57.5,19.8,50.3,4.53,126.6,7.08,,,,,,,,,,
1700,"AD, SC",bernhardt,2019-10-09,10:29,42,18.7,45.7,4.3,161,7.09,,,,,,,,,,
1750,"AD, SC",bernhardt,2019-10-09,10:33,12,18.2,45.3,4.26,151.3,7.09,,,,,,,,,,
1800,"AD, SC",bernhardt,2019-10-09,10:39,20.5,18.3,41.2,3.86,147.3,7.07,0.292568052,3.314976227,7.320680235,5.499,0.2556,0.00715,0.00435,,"Flag missing, approx sample site",
1850,"AD, SC",bernhardt,2019-10-09,10:50,15,17.8,82.1,7.75,149.7,7.41,,,,,,,,,,
1900,"AD, SC",bernhardt,2019-10-09,10:53,12,17.3,49.9,4.82,146.9,7.12,,,,,,,,,,
1950,"AD, SC",bernhardt,2019-10-09,10:57,25,17.5,61.6,5.88,153.9,7.25,,,,,,,,,,
2000,"AD, SC",bernhardt,2019-10-09,11:00,19,18,101.5,9.63,161.6,7.66,0.380052682,4.541939378,7.716871411,4.541,0.2299,-0.00168,0.00448,,,
2050,"AD, SC",bernhardt,2019-10-09,11:07,37,18.1,69.7,6.55,148.8,7.45,,,,,,,,,,
2100,"AD, SC",bernhardt,2019-10-09,11:09,41,17.9,44.6,4.21,151.8,7.2,,,,,,,,,,
2150,"AD, SC",bernhardt,2019-10-09,11:12,5,17.5,30.8,2.93,161.9,7.16,,,,,,,,,,
2200,"AD, SC",bernhardt,2019-10-09,11:16,36,18.7,28.6,2.64,137,7.04,0.366305097,4.108135118,7.854463385,5.277,0.2441,0.0076,0.00465,,,
2250,"AD, SC",bernhardt,2019-10-09,11:23,111,19.5,29.3,2.69,137.9,7.05,,,,,,,,,could not reach deepest point,
2300,"AD, SC",bernhardt,2019-10-09,11:29,47,19.5,36.2,3.36,138.3,7.11,,,,,,,,,,
2350,"AD, SC",bernhardt,2019-10-09,11:34,68,18.7,23.8,2.21,148.3,6.99,,,,,,,,,,
2400,"AD, SC",bernhardt,2019-10-09,11:38,27,18.3,53.1,4.97,148,7.13,0.625009647,3.746284968,8.055323098,4.226,0.2271,0.014,0.00412,,,
2450,"AD, SC",bernhardt,2019-10-09,11:43,23,18.5,74.1,6.92,145.6,7.31,,,,,,,,,,
2500,"AD, SC",bernhardt,2019-10-09,11:46,18,18.2,57.5,5.4,146.9,7.23,,,,,,,,,,
2550,"AD, SC",bernhardt,2019-10-09,11:48,20,18.5,54,5.04,154.8,7.24,,,,,,,,,,
2600,"AD, SC",bernhardt,2019-10-09,11:51,21.5,19,56.2,5.11,151.7,7.17,1.528600903,5.048529587,7.764782902,3.56,0.2715,0.00859,0.00708,,,
2650,"AD, SC",bernhardt,2019-10-09,11:56,6.5,19.8,63.9,5.71,131.3,7.24,,,,,,,,,,
2700,"AD, SC",bernhardt,2019-10-09,,,,,,,,,,,,,,,,missing flag?,
2750,"AD, SC",bernhardt,2019-10-09,11:58,59,19.6,45.4,4.15,134.3,7.09,,,,,,,,,appeared to be only 50 m past 2650,
2800,"AD, SC",bernhardt,2019-10-09,12:02,56,19.7,63.7,5.73,136.2,7.14,0.237577712,4.212530966,7.816687018,5.018,0.2677,0.023,0.013,,,
2850,"AD, SC",bernhardt,2019-10-09,12:06,24,18.9,84.6,7.82,167.5,7.62,,,,,,,,,,
2900,"AD, SC",bernhardt,2019-10-09,12:08,15,18.3,78.4,7.34,161.7,7.26,,,,,,,,,,
2950,"AD, SC",bernhardt,2019-10-09,12:10,29,18.8,90.1,8.31,176.5,7.52,,,,,,,,,,
3000,"AD, SC",bernhardt,2019-10-09,12:13,9,19.1,65.9,6.26,183,7.34,0.285069369,5.164155267,5.139171765,2.495,0.09265,-0.0165,0.00618,,,
3050,"AD, SC",bernhardt,2019-10-09,12:16,10.5,19.7,113.5,10.27,147.4,7.63,,,,,,,,,,
3100,"AD, SC",bernhardt,2019-10-09,12:19,5,19.8,64.1,5.8,128.1,7.35,,,,,,,,,3 dead fish in small pool,
3150,"AD, SC",bernhardt,2019-10-09,12:21,30,19.5,53.2,4.87,132.7,7.11,,,,,,,,,,
3200,"AD, SC",bernhardt,2019-10-09,12:25,117,19.6,43.4,3.97,133.1,7.02,0.506280506,4.450437041,8.69352873,5.6,0.2915,0.023,0.0088,,could not reach deepest point,
3250,"AD, SC",bernhardt,2019-10-09,12:29,20,20.1,82.5,7.55,166.8,7.38,,,,,,,,,,
3300,"AD, SC",bernhardt,2019-10-09,12:33,19,19.4,31.7,2.91,161.4,7.16,,,,,,,,,,
3350,"AD, SC",bernhardt,2019-10-09,12:35,7,18.3,52,4.84,149.6,7.26,,,,,,,,,,
3400,"AD, SC",bernhardt,2019-10-09,12:38,52,18.8,59.9,5.55,136.3,7.15,0.308815197,3.488830667,5.386100219,4.308,0.1983,0.00697,0.00601,,,
3400,AM,doyle,2019-10-09,9:52,54,18.3,42.3,3.96,143.7,7.23,,,,,,,,,,
3450,AM,doyle,2019-10-09,10:02,105,18.9,44.2,4.06,142.4,7.26,,,,,,,,,,
3500,AM,doyle,2019-10-09,10:05,24,17.3,49.3,4.69,162,7.19,,,,,,,,,,R
3550,AM,doyle,2019-10-09,10:08,34,17.2,20.8,1.99,162.4,7.12,,,,,,,,,,
3600,AM,doyle,2019-10-09,10:19,17,17.9,29.7,2.78,149.3,7.21,0.929956074,4.042003884,8.154524455,4.809,0.3345,0.0475,0.00633,,,
3650,AM,doyle,2019-10-09,10:22,55,18.3,27.2,2.65,151.1,7.18,,,,,,,,,,
3700,AM,doyle,2019-10-09,10:27,94,18.9,21.9,2.04,154.4,7.1,,,,,,,,,,
3750,AM,doyle,2019-10-09,10:33,44,18.4,15.5,1.45,154.4,7.08,,,,,,,,,,
3800,AM,doyle,2019-10-09,10:37,29,18,44.4,4.19,178.9,7.16,0.227579469,10.77615994,8.738061846,5.28,0.2504,0.0111,0.0119,,,
3850,AM,doyle,2019-10-09,10:44,26,18.3,58.4,5.46,228,7.37,,,,,,,,,very small pool in rocks jumble,
3900,AM,doyle,2019-10-09,10:48,11,18.3,35.8,3.38,232.6,7.24,,,,,,,,,even smaller pool in rock jumble,
3950,AM,doyle,2019-10-09,10:53,30,17.8,34.9,3.32,159.1,7.25,,,,,,,,,,
4000,AM,doyle,2019-10-09,10:57,11,17.6,36,3.43,177,7.21,0.377553121,8.395019591,6.992056546,4.67,0.2311,0.0228,0.00551,,small pool in rock jumble,
4050,AM,doyle,2019-10-09,11:03,21,17.7,17.9,1.71,171,7.07,,,,,,,,,,
4100,AM,doyle,2019-10-09,11:06,10,18.2,64.7,6.14,173,7.32,,,,,,,,,small pool in rock jumble,
4150,AM,doyle,2019-10-09,11:13,22,17.8,32.5,3.08,163.9,7.28,,,,,,,,,,
4200,AM,doyle,2019-10-09,11:18,18,17.8,43.3,4.08,192.5,7.27,0.227579469,18.33508479,9.095862405,4.222,0.2012,0.0132,0.0073,,,
4250,AM,doyle,2019-10-09,11:24,34,17.6,32.6,3.14,188.3,7.23,,,,,,,,,very small pool in rocks jumble,R
4300,AM,doyle,2019-10-09,11:28,33,17.6,37.6,3.58,247.8,7.17,,,,,,,,,,
4350,AM,doyle,2019-10-09,11:32,39,18.6,47.6,4.44,127.9,7.3,,,,,,,,,,R
4400,AM,doyle,2019-10-09,11:38,27,19,49.2,4.57,126.7,7.34,0.257574199,4.729935088,7.144697642,5.332,0.2677,0.00902,0.0123,,,
4450,AM,doyle,2019-10-09,11:42,68,19.1,64.9,5.08,126.1,7.4,,,,,,,,,,
4500,AM,doyle,2019-10-09,11:54,54,19.2,44.9,4.1,151.9,7.34,,,,,,,,,,
4550,AM,doyle,2019-10-09,11:59,48,18.6,37.3,3.5,156.9,7.28,,,,,,,,,,
4600,AM,doyle,2019-10-09,12:03,30,18.7,27.4,2.56,183.3,7.19,0.245076395,13.52622108,6.029526974,4.944,0.2197,0.0056,0.00582,,,
