site,distance_m,date,width_m,depth_m,habitat,wetted_width,baseflow_width,bankfull_width,left_bank_height,left_bank_width,right_bank_height,left_bank_width_1,wl_to_baseflow,wl_to_bankfull,notes
nhc,0,2018-07-23,0,0.4,pool,7.2,13,100,2.4,2.2,1.5,90,0.82,2.7,NA
nhc,0,2018-07-23,0.5,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,0,2018-07-23,1,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,0,2018-07-23,1.5,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,0,2018-07-23,2,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,0,2018-07-23,2.5,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,0,2018-07-23,3,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,0,2018-07-23,3.5,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,0,2018-07-23,4,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,0,2018-07-23,4.5,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,0,2018-07-23,5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,0,2018-07-23,5.5,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,0,2018-07-23,6,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,0,2018-07-23,6.5,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,0,2018-07-23,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,0,2018-07-23,7.2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,0,0,run,11.6,15.8,65,1.5,3.4,2.4,50,0.86,1.96,NA
nhc,100,2018-07-23,0.75,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,1.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,2.25,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,3,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,3.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,4.5,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,5.25,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,6,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,6.75,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,7.5,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,8.25,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,9,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,9.75,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,10.5,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,11.25,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,100,2018-07-23,11.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,200,2018-07-23,0,0,riffle,17,17.3,20.25,1.6,2.45,1.6,0.5,0.39,2,NA
nhc,200,2018-07-23,1,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,200,2018-07-23,2,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,200,2018-07-23,3,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhc,200,2018-07-23,4,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
