date,distance_m,habitat,trib,width_m,notes,site
2019-02-25,0,pool,,,NHC station,NHC
2019-02-25,50,run,,,corner upstream from NHC,
2019-02-25,65,run,t,,trib at high flow on right,
2019-02-25,100,riffle,,,,
2019-02-25,150,riffle,,,,
2019-02-25,161,pool,,,,
2019-02-25,190,pool,t,,right trib,
2019-02-25,200,pool,,,,
2019-02-25,250,run,,,,
2019-02-25,270,riffle,,,,
2019-02-25,300,riffle,,,,
2019-02-25,310,run,,,,
2019-02-25,350,run,,,,
2019-02-25,390,riffle,,,,
2019-02-25,400,riffle,,,,
2019-02-25,422,pool,,,,
2019-02-25,450,riffle,,,,
2019-02-25,463,run,,,,
2019-02-25,500,run,,,moving channel with backwater by old dam,
2019-02-25,510,run,,,half of an old dam,
2019-02-25,550,run,,,,
2019-02-25,585,riffle,,,,
2019-02-25,600,riffle,,,,
2019-02-25,606,pool,,,,
2019-02-25,650,riffle,,,,
2019-02-25,666,run,t,,right trib,
2019-02-25,676,riffle,,,large curve in river,
2019-02-25,683,run,,,,
2019-02-25,700,riffle,,,,
2019-02-25,722,riffle,dt,,small distributary on the right,
2019-02-25,746,run,,,,
2019-02-25,750,run,,,,
2019-02-25,800,run,,,,
2019-02-25,814,run,t,,large left trib,
2019-02-25,816,pool,,,,
2019-02-25,850,run,,,,
2019-02-25,860,riffle,,,,
2019-02-25,870,run,,,,
2019-02-25,900,run,,,,
2019-02-25,927,riffle,,,,
2019-02-25,950,pool,,,,
2019-02-25,1000,pool,,,,
2019-02-25,1005,riffle,,,,
2019-02-25,1020,pool,,,,
2019-02-25,1050,pool,,,at trail junction to Mrs. Brown's foot,
2019-02-25,1100,pool,,,,
2019-02-25,1109,run,,,,
2019-02-25,1127,riffle,,,,
2019-02-25,1150,riffle,,,,
2019-02-25,1177,run,,,,
2019-02-25,1200,run,,,,
2019-02-25,1250,run,,,,
2019-02-25,1300,run,,,,
2019-02-26,1307,run,,,"bottom of island, main channel on the left",
2019-02-26,1350,riffle,,,,
2019-02-26,1400,run,,,,
2019-02-26,1419,run,t,,"right trib, 10 m wide",
2019-02-26,1431,pool,,,top of island,
2019-02-26,1450,pool,,,,
2019-02-26,1500,pool,,,,
2019-02-26,1550,pool,,,"lower connection to piney mountain trail,",
2019-02-26,1570,pool,,,,PM
2019-02-26,1600,pool,,,"huge carter pool, even at high flow",
2019-02-26,1650,run,,,,
2019-02-26,1670,riffle,,,rock scramble,
2019-02-26,1682,run,,,,
2019-02-26,1695,riffle,,,,
2019-02-26,1700,riffle,,,,
2019-02-26,1750,riffle,,,,
2019-02-26,1771,run,,,(spot where we set up hammocks),
2019-02-26,1800,run,,,,
2019-02-26,1848,riffle,,,,
2019-02-26,1850,riffle,,,,
2019-02-26,1885,run,,,,
2019-02-26,1900,run,,,,
2019-02-26,1939,run,t,,"trib at right, 1m wide, steep",
2019-02-26,1950,riffle,,,upper piney mountain trailhead,
2019-02-26,2000,run,,,,
2019-02-26,2008,riffle,,,,
2019-02-26,2050,riffle,,,,
2019-02-26,2060,run,,,,
2019-02-26,2076,pool,,,,
2019-02-26,2100,pool,,,,
2019-02-26,2112,riffle,,,,
2019-02-26,2150,riffle,,,,
2019-02-26,2175,riffle,t,,"Big trib, and bottom of island, main channel is on the right",
2019-02-26,2118,pool,,,carter pool,
2019-02-26,2200,pool,,,,
2019-02-26,2250,pool,,,,
2019-02-26,2296,pool,,,,
2019-02-26,2300,pool,,,,
2019-02-26,2330,pool,,,,
2019-02-26,2350,pool,,,,
2019-02-26,2361,riffle,,,,
2019-02-26,2400,riffle,,,,
2019-02-26,2450,riffle,,,,
2019-02-26,2500,riffle,,,,
2019-02-26,2506,run,,,,
2019-02-26,2550,run,,,,
2019-02-26,2582,riffle,,,bedrock constrained riffle,
2019-02-26,2600,riffle,,,,
2019-02-26,2650,riffle,,,,
2019-02-26,2663,riffle,t,,"right trib, 0.75 m wide, very steep",
2019-02-26,2700,riffle,,,,
2019-02-26,2735,pool,,,carter pool,
2019-02-26,2750,pool,,,,
2019-02-26,2800,pool,,,,
2019-02-26,2842,riffle,,,,
2019-02-26,2850,riffle,,,,
2019-02-26,2870,run,,,,
2019-02-26,2900,riffle,,,,
2019-02-26,2950,riffle,,,,
2019-02-26,2963,run,,,,
2019-02-26,3000,pool,,,,
2019-02-26,3010,run,,,"begin chain of center islands, 1-5 m wide",
2019-02-26,3045,riffle,,,,
2019-02-26,3050,riffle,,,,
2019-02-26,3100,riffle,,,,
2019-02-26,3133,pool,,,carter pool,
2019-02-26,3150,pool,,,,
2019-02-26,3200,run,,,,
2019-02-26,3212,riffle,,,,
2019-02-26,3250,riffle,,,,
2019-02-26,3300,run,,,,
2019-02-26,3340,riffle,t,,"trib right, 0.5 m wide, lots of organic matter",
2019-02-26,3350,riffle,,,,
2019-02-26,3376,pool,,,duke forest road gate 25,
2019-02-26,3400,pool,,,carter pool,
2019-02-26,3450,pool,,,,CBP
2019-02-26,3468,run,,,,
2019-02-26,3500,run,,,,
2019-02-26,3507,riffle,,,,
2019-02-26,3550,riffle,t,,"left trib, steep, width = 1 m",
2019-02-26,3530,riffle,t,,"ponded trib on right, maybe a backwater, 1m wide",
2019-02-26,3595,pool,,,carter pool,
2019-02-26,3600,pool,,,,
2019-02-26,3650,pool,,,,
2019-02-26,3700,pool,,,,
2019-02-26,3744,riffle,,,,
2019-02-26,3750,riffle,,,,
2019-02-26,3780,run,,,,
2019-02-26,3800,pool,,,,
2019-02-26,3837,riffle,,,bedrock constrained,
2019-02-26,3850,riffle,,,,
