date,distance_m,habitat,width_m
2019-03-07,50,riffle,15
2019-03-07,100,run,13
2019-03-07,150,run,19
2019-03-07,200,pool,17.2
2019-03-07,250,pool,21
2019-03-07,300,riffle,12.4
2019-03-07,350,run,13.6
2019-03-07,400,riffle,10.5
2019-03-07,450,run,11.3
2019-03-07,500,pool,22
2019-03-07,550,riffle,12.8
2019-03-07,600,run,15.6
2019-03-07,650,run,12.1
2019-03-07,700,run,11.6
2019-03-07,750,riffle,13.5
2019-03-07,800,run,13
2019-03-07,850,run,17.5
2019-03-07,900,run,11.5
2019-03-07,950,riffle,17.5
2019-03-07,1000,run,17.3
2019-03-07,1050,pool,16.6
2019-03-07,1100,run,17.4
2019-03-07,1150,riffle,11.3
2019-03-07,1200,run,11.2
2019-03-07,1250,run,12
2019-03-07,1300,run,12.2
2019-03-07,1350,riffle,10.1
2019-03-07,1400,run,11.3
2019-03-07,1450,pool,20.8
2019-03-07,1500,pool,19.9
2019-03-07,1550,pool,18.5
2019-03-07,1600,pool,19.5
2019-03-07,1650,run,13.9
2019-03-07,1700,riffle,12
2019-03-07,1750,riffle,14.9
2019-03-07,1800,run,13.1
2019-03-07,1850,riffle,12.9
2019-03-07,1900,riffle,11.6
2019-03-07,1950,riffle,12.2
2019-03-07,2000,riffle,10
2019-03-07,2050,riffle,8.9
2019-03-07,2100,run,11.2
2019-03-07,2150,riffle,9.8
2019-03-07,2200,pool,14.9
2019-03-07,2250,pool,20.4
2019-03-07,2300,run,14.8
2019-03-07,2350,run,10.9
2019-03-07,2400,riffle,7.5
2019-03-07,2450,riffle,12.4
2019-03-07,2500,riffle,11
2019-03-07,2550,run,9.8
2019-03-07,2600,riffle,11.2
2019-03-07,2650,riffle,11
2019-03-07,2700,riffle,12.2
2019-03-07,2750,pool,15.3
2019-03-07,2800,pool,15.2
2019-03-07,2850,riffle,11.1
2019-03-07,2900,riffle,7.6
2019-03-07,2950,riffle,7.6
2019-03-07,3000,run,10.3
2019-03-07,3050,riffle,18.8
2019-03-07,3100,riffle,11.6
2019-03-07,3150,pool,18.5
2019-03-07,3200,run,13.8
2019-03-07,3250,riffle,13.4
2019-03-07,3300,riffle,12
2019-03-07,3350,riffle,13.2
2019-03-07,3400,pool,16.6
2019-03-07,3450,pool,18.3
2019-03-07,3500,run,9.5
2019-03-07,3550,riffle,10
2019-03-07,3600,run,14.5
2019-03-07,3650,pool,20.8
2019-03-07,3700,pool,19.7
2019-03-07,3750,riffle,13.6
2019-03-07,3800,run,14.3
2019-03-07,3850,riffle,14.2
2019-03-07,3900,riffle,7
2019-03-07,3950,run,13.2
2019-03-07,4000,run,12.9
2019-03-07,4050,run,10.9
2019-03-07,4100,riffle,8.7
2019-03-07,4150,run,13.7
2019-03-07,4200,run,11.4
2019-03-07,4250,riffle,12
2019-03-07,4300,riffle,7.4
2019-03-07,4350,run,11.7
2019-03-07,4400,pool,13.4
2019-03-07,4450,run,13.2
2019-03-07,4500,pool,15
2019-03-07,4550,pool,12.2
2019-03-07,4600,run,10.7
2019-03-07,4650,run,11.4
2019-03-07,4700,run,14
2019-03-07,4750,run,8.7
2019-03-07,4800,riffle,8.9
2019-03-07,4850,run,14.9
2019-03-07,4900,run,15.4
2019-03-07,4950,riffle,10.2
2019-03-07,5000,run,13
2019-03-07,5050,run,12.6
2019-03-07,5100,riffle,9
2019-03-07,5150,riffle,9.8
2019-03-07,5200,run,7.9
2019-03-07,5250,run,14.5
2019-03-07,5300,pool,21
2019-03-07,5350,run,13.9
2019-03-07,5400,run,14.5
2019-03-07,5450,riffle,8.9
2019-03-07,5500,run,14.4
2019-03-07,5550,run,8.3
2019-03-07,5600,pool,14.2
2019-03-07,5650,pool,16.1
2019-03-07,5700,run,11.9
2019-03-07,5750,riffle,10.5
2019-03-07,5800,run,9.2
2019-03-07,5850,riffle,14.3
2019-03-07,5900,run,13.4
2019-03-07,5950,run,9.2
2019-03-07,6000,riffle,10.7
2019-03-07,6050,riffle,11.2
2019-03-07,6100,pool,15.6
2019-03-07,6150,pool,14.6
2019-03-07,6200,pool,15
2019-03-07,6250,pool,13.2
2019-03-07,6300,pool,14.9
2019-03-07,6350,pool,13.6
2019-03-07,6400,pool,13.4
2019-03-07,6450,run,12.7
2019-03-07,6500,run,13.4
2019-03-07,6550,riffle,11.4
2019-03-07,6600,run,11
2019-03-07,6650,pool,11.8
2019-03-07,6700,run,12.6
2019-03-07,6750,riffle,8
2019-03-07,6800,run,16.6
2019-03-07,6850,run,13
2019-03-07,6900,run,9.5
2019-03-07,6950,riffle,12.5
2019-03-07,7000,pool,16.5
2019-03-07,7050,pool,12.5
2019-03-07,7100,pool,13
2019-03-07,7150,pool,17
2019-03-07,7200,run,14
2019-03-07,7250,run,13.3
2019-03-07,7300,run,13.3
2019-03-07,7350,riffle,8.3
2019-03-07,7400,riffle,13.8
2019-03-07,7450,pool,15.5
2019-03-07,7500,pool,14
2019-03-07,7550,pool,16
2019-03-07,7600,run,12.7
2019-03-07,7650,run,13.1
2019-03-07,7700,run,9.2
2019-03-07,7750,riffle,14.7
2019-03-07,7800,run,12.5
2019-03-07,7850,run,16
2019-03-07,7900,run,10.1
2019-03-07,7950,run,10
2019-03-07,8000,run,11
2019-03-07,8050,riffle,9.9
2019-03-07,8100,run,10
2019-03-07,8150,run,13.4
2019-03-07,8200,pool,14.6
2019-03-07,8250,run,9.3
2019-03-07,8300,pool,15
2019-03-07,8350,run,12.3
2019-03-07,8400,run,14.2
2019-03-07,8450,run,13.8
