site,year,days,pctcoverage,gpp_mean,gpp_max,gpp_cv,gpp_cum,peak_gpp,er_mean,er_max,er_cv,er_cum,peak_er,
NHC,2017,276,76%,0.21,0.98,1.05,78,3-Apr,-2.03,-5.89,0.62,-684,7-Oct,-606
NHC,2018,202,55%,0.40,1.38,0.76,135,3-Feb,-1.09,-2.90,0.45,-416,15-Sep,-280
NHC,2019,278,71%,0.33,1.36,0.88,117,21-Mar,-1.03,-6.71,0.87,-380,25-Sep,-263
PM,2019,293,76%,0.30,0.84,0.68,109,17-Jun,-0.67,-1.86,0.55,-257,23-Nov,-148
CBP,2019,276,71%,0.37,1.56,0.75,133,6-Apr,-0.75,-6.05,0.68,-296,7-Apr,-163
WB,2019,288,74%,0.38,1.18,0.66,135,21-Mar,-0.94,-2.45,0.61,-352,1-Jul,-217
WBP,2019,304,80%,0.33,2.00,0.98,123,21-Mar,-1.30,-4.80,0.79,-453,30-Sep,-330
UNHC,2017,286,78%,0.27,1.32,1.05,99,9-Apr,-1.37,-4.37,0.73,-463,21-Nov,-363
UNHC,2018,226,62%,0.42,1.59,0.76,143,3-Feb,-1.26,-3.01,0.43,-467,13-Sep,-325
UNHC,2019,301,77%,0.44,1.52,0.84,165,10-Mar,-1.50,-4.21,0.51,-538,28-Sep,-373
,,,,,,,,,,,,,,
CBP,1968,18,5%,0.27,0.57,0.54,98,20-Mar,-0.44,-0.67,0.36,-156,3-Oct,-58
CBP,1969,34,9%,0.32,1.18,0.81,112,8-Mar,-0.50,-1.34,0.48,-195,3-Mar,-83
CBP,NA,58,16%,0.31,1.18,0.71,98,8-Mar,-0.49,-1.34,0.43,-166,2-Mar,-68
WB,NA,11,3%,0.35,0.59,0.39,NA,NA,-0.81,-1.26,0.33,NA,NA,NA
BLK,NA,8,2%,0.23,0.48,0.60,NA,NA,-0.56,-0.86,0.41,NA,NA,NA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
