DateTime_UTC,site,DO_mgL,SpecCond_uScm,WaterPres_kPa,WaterTemp_C
2019-03-06T15:45:00Z,CBP,12.66,47.7,104.295,7.04
2019-03-06T16:00:00Z,CBP,12.85,47.8,104.28,7.11
2019-03-06T16:15:00Z,CBP,12.88,48,104.265,7.19
2019-03-06T16:30:00Z,CBP,12.9,48.1,104.269,7.24
2019-03-06T16:45:00Z,CBP,12.91,48.3,104.263,7.36
2019-03-06T17:00:00Z,CBP,12.92,48.5,104.228,7.46
2019-03-06T17:15:00Z,CBP,12.9,48.6,104.222,7.53
2019-03-06T17:30:00Z,CBP,12.91,48.8,104.207,7.69
2019-03-06T17:45:00Z,CBP,12.88,49,104.161,7.77
2019-03-06T18:00:00Z,CBP,12.89,49.2,104.135,7.88
2019-03-06T18:15:00Z,CBP,12.85,49.2,104.096,7.97
2019-03-06T18:30:00Z,CBP,12.84,49.5,104.07,8.06
2019-03-06T18:45:00Z,CBP,12.81,49.6,104.074,8.14
2019-03-06T19:00:00Z,CBP,12.8,49.7,104.049,8.21
2019-03-06T19:15:00Z,CBP,12.77,49.9,104.043,8.29
2019-03-06T19:30:00Z,CBP,12.75,50,104.037,8.38
2019-03-06T19:45:00Z,CBP,12.72,50.2,104.001,8.43
2019-03-06T20:00:00Z,CBP,12.7,50.2,103.981,8.48
2019-03-06T20:15:00Z,CBP,12.66,50.4,103.971,8.51
2019-03-06T20:30:00Z,CBP,12.63,50.4,103.971,8.52
2019-03-06T20:45:00Z,CBP,12.6,50.6,103.962,8.52
2019-03-06T21:00:00Z,CBP,12.55,50.6,103.946,8.52
2019-03-06T21:15:00Z,CBP,12.52,50.6,103.912,8.49
2019-03-06T21:30:00Z,CBP,12.47,50.6,103.912,8.49
2019-03-06T21:45:00Z,CBP,12.45,50.7,103.892,8.49
2019-03-06T22:00:00Z,CBP,12.42,50.8,103.882,8.47
2019-03-06T22:15:00Z,CBP,12.38,50.8,103.872,8.46
2019-03-06T22:30:00Z,CBP,12.34,50.8,103.882,8.44
2019-03-06T22:45:00Z,CBP,12.31,50.8,103.887,8.42
2019-03-06T23:00:00Z,CBP,12.27,51,103.877,8.39
2019-03-06T23:15:00Z,CBP,12.22,51.1,103.857,8.37
2019-03-06T23:30:00Z,CBP,12.2,51.2,103.877,8.35
2019-03-06T23:45:00Z,CBP,12.17,51.3,103.877,8.33
2019-03-07T00:00:00Z,CBP,12.14,51.6,103.883,8.3
2019-03-07T00:15:00Z,CBP,12.13,51.9,103.903,8.28
2019-03-07T00:30:00Z,CBP,12.13,52.1,103.893,8.24
2019-03-07T00:45:00Z,CBP,12.1,52.3,103.899,8.2
2019-03-07T01:00:00Z,CBP,12.09,52.3,103.899,8.16
2019-03-07T01:15:00Z,CBP,12.08,52.4,103.919,8.12
2019-03-07T01:30:00Z,CBP,12.06,52.3,103.924,8.1
2019-03-07T01:45:00Z,CBP,12.08,52.3,103.954,8.06
2019-03-07T02:00:00Z,CBP,12.07,52.3,103.954,8.03
2019-03-07T02:15:00Z,CBP,12.07,52.1,103.94,7.98
2019-03-07T02:30:00Z,CBP,12.07,52,103.95,7.93
2019-03-07T02:45:00Z,CBP,12.09,52,103.996,7.89
2019-03-07T03:00:00Z,CBP,12.09,51.9,103.986,7.84
2019-03-07T03:15:00Z,CBP,12.09,52,104.011,7.8
2019-03-07T03:30:00Z,CBP,12.11,52,104.001,7.75
2019-03-07T03:45:00Z,CBP,12.1,52,103.997,7.71
2019-03-07T04:00:00Z,CBP,12.11,52,104.017,7.66
2019-03-07T04:15:00Z,CBP,12.11,52.1,103.987,7.61
2019-03-07T04:30:00Z,CBP,12.13,52.2,104.033,7.56
2019-03-07T04:45:00Z,CBP,12.13,52.2,104.003,7.53
2019-03-07T05:00:00Z,CBP,12.14,52.3,103.998,7.48
2019-03-07T05:15:00Z,CBP,12.15,52.3,104.008,7.43
2019-03-07T05:30:00Z,CBP,12.15,52.3,104.014,7.38
2019-03-07T05:45:00Z,CBP,12.17,52.4,104.004,7.36
2019-03-07T06:00:00Z,CBP,12.18,52.5,104.01,7.29
2019-03-07T06:15:00Z,CBP,12.18,52.5,104.01,7.27
2019-03-07T06:30:00Z,CBP,12.19,52.5,104.02,7.2
2019-03-07T06:45:00Z,CBP,12.19,52.5,104.005,7.15
2019-03-07T07:00:00Z,CBP,12.21,52.5,103.995,7.11
2019-03-07T07:15:00Z,CBP,12.21,52.5,103.971,7.06
