DateTime_UTC,site,DO_mgL,SpecCond_uScm,WaterPres_kPa,WaterTemp_C
2019-03-06T19:00:00Z,PM,12.77,51.4,104.069,7.64
2019-03-06T19:15:00Z,PM,12.78,51.5,104.069,7.62
2019-03-06T19:30:00Z,PM,12.75,51.6,104.038,7.66
2019-03-06T19:45:00Z,PM,12.71,51.7,104.02,7.7
2019-03-06T20:00:00Z,PM,12.69,51.9,104.007,7.72
2019-03-06T20:15:00Z,PM,12.67,51.9,104.007,7.72
2019-03-06T20:30:00Z,PM,12.67,52,103.989,7.74
2019-03-06T20:45:00Z,PM,12.63,52,103.989,7.76
2019-03-06T21:00:00Z,PM,12.61,52.1,103.953,7.76
2019-03-06T21:15:00Z,PM,12.55,52.1,103.935,7.74
2019-03-06T21:30:00Z,PM,12.54,52.2,103.949,7.7
2019-03-06T21:45:00Z,PM,12.51,52.2,103.931,7.68
2019-03-06T22:00:00Z,PM,12.48,52.2,103.877,7.66
2019-03-06T22:15:00Z,PM,12.45,52.2,103.86,7.62
2019-03-06T22:30:00Z,PM,12.41,52.2,103.855,7.56
2019-03-06T22:45:00Z,PM,12.38,52.2,103.855,7.52
2019-03-06T23:00:00Z,PM,12.34,52.3,103.815,7.48
2019-03-06T23:15:00Z,PM,12.33,52.2,103.797,7.44
2019-03-06T23:30:00Z,PM,12.29,52.3,103.793,7.38
2019-03-06T23:45:00Z,PM,12.27,52.3,103.793,7.32
2019-03-07T00:00:00Z,PM,12.25,52.3,103.811,7.28
2019-03-07T00:15:00Z,PM,12.26,52.3,103.788,7.24
2019-03-07T00:30:00Z,PM,12.23,52.2,103.806,7.2
2019-03-07T00:45:00Z,PM,12.24,52.3,103.784,7.14
2019-03-07T01:00:00Z,PM,12.24,52.3,103.784,7.1
2019-03-07T01:15:00Z,PM,12.24,52.3,103.82,7.06
2019-03-07T01:30:00Z,PM,12.25,52.3,103.833,7.02
2019-03-07T01:45:00Z,PM,12.25,52.4,103.851,6.98
2019-03-07T02:00:00Z,PM,12.27,52.4,103.869,6.94
2019-03-07T02:15:00Z,PM,12.27,52.5,103.828,6.9
2019-03-07T02:30:00Z,PM,12.28,52.6,103.846,6.86
2019-03-07T02:45:00Z,PM,12.29,52.8,103.895,6.82
2019-03-07T03:00:00Z,PM,12.3,53.1,103.86,6.8
2019-03-07T03:15:00Z,PM,12.31,53.2,103.895,6.76
2019-03-07T03:30:00Z,PM,12.33,53.4,103.877,6.74
2019-03-07T03:45:00Z,PM,12.33,53.4,103.891,6.68
2019-03-07T04:00:00Z,PM,12.35,53.4,103.891,6.64
2019-03-07T04:15:00Z,PM,12.35,53.4,103.855,6.62
2019-03-07T04:30:00Z,PM,12.36,53.4,103.904,6.58
2019-03-07T04:45:00Z,PM,12.38,53.4,103.886,6.54
2019-03-07T05:00:00Z,PM,12.4,53.2,103.864,6.5
2019-03-07T05:15:00Z,PM,12.42,53.3,103.882,6.46
2019-03-07T05:30:00Z,PM,12.39,53.3,103.882,6.44
2019-03-07T05:45:00Z,PM,12.43,53.2,103.877,6.36
2019-03-07T06:00:00Z,PM,12.44,53.1,103.877,6.32
