DateTime_UTC,site,DO_mgL,Light_lux,SpecCond_uScm,WaterPres_kPa,WaterTemp_C
2019-03-12T22:00:00Z,PWC,12.79,5109.27,72.3,102.878,12.304
2019-03-12T22:15:00Z,PWC,12.74,6257.43,72.3,102.878,12.304
2019-03-12T22:30:00Z,PWC,12.68,6429.67,72.7,102.878,12.304
2019-03-12T22:45:00Z,PWC,12.63,4650,73.2,102.904,12.304
2019-03-12T23:00:00Z,PWC,12.54,2124.1,73.1,102.907,12.304
2019-03-12T23:15:00Z,PWC,12.41,383.9,72.7,102.917,12.2393
2019-03-12T23:30:00Z,PWC,12.34,21.5333,72.9,102.933,12.207
2019-03-12T23:45:00Z,PWC,12.26,0,73,102.948,12.1747
2019-03-13T00:00:00Z,PWC,12.18,0,73.2,102.975,12.11
2019-03-13T00:15:00Z,PWC,12.05,0,73.1,102.985,12.0453
2019-03-13T00:30:00Z,PWC,11.96,0,73.1,103.01,12.013
2019-03-13T00:45:00Z,PWC,11.89,0,73.3,103.007,11.916
2019-03-13T01:00:00Z,PWC,11.8,0,73,103.012,11.8513
2019-03-13T01:15:00Z,PWC,11.73,0,73.1,103.013,11.7867
2019-03-13T01:30:00Z,PWC,11.64,0,73.1,103.017,11.722
2019-03-13T01:45:00Z,PWC,11.57,0,73.1,103.043,11.625
2019-03-13T02:00:00Z,PWC,11.52,0,73.1,103.057,11.5603
2019-03-13T02:15:00Z,PWC,11.48,0,73,103.062,11.4957
2019-03-13T02:30:00Z,PWC,11.41,0,72.9,103.069,11.3987
2019-03-13T02:45:00Z,PWC,11.36,0,72.9,103.076,11.334
2019-03-13T03:00:00Z,PWC,11.29,0,72.8,103.083,11.236
2019-03-13T03:15:00Z,PWC,11.26,0,72.7,103.072,11.1713
2019-03-13T03:30:00Z,PWC,11.23,0,72.7,103.061,11.139
2019-03-13T03:45:00Z,PWC,11.17,0,72.6,103.054,11.041
2019-03-13T04:00:00Z,PWC,11.16,0,72.7,103.061,10.944
2019-03-13T04:15:00Z,PWC,11.13,0,72.5,103.062,10.846
2019-03-13T04:30:00Z,PWC,11.11,0,72.4,103.055,10.748
2019-03-13T04:45:00Z,PWC,11.08,0,72.3,103.033,10.651
2019-03-13T05:00:00Z,PWC,11.07,0,72.2,103.02,10.553
2019-03-13T05:15:00Z,PWC,11.05,0,72.1,103.012,10.4877
2019-03-13T05:30:00Z,PWC,11.03,0,71.9,103.025,10.3897
2019-03-13T05:45:00Z,PWC,11.02,0,71.9,103.023,10.3243
2019-03-13T06:00:00Z,PWC,11,0,71.7,103.03,10.2263
2019-03-13T06:15:00Z,PWC,11,0,71.8,103.024,10.1283
2019-03-13T06:30:00Z,PWC,11,0,71.6,103.022,10.063
2019-03-13T06:45:00Z,PWC,11,0,71.6,103.009,9.965
2019-03-13T07:00:00Z,PWC,10.99,0,71.3,103.001,9.899
2019-03-13T07:15:00Z,PWC,11,0,71.3,103.004,9.80067
2019-03-13T07:30:00Z,PWC,10.99,0,71.2,102.998,9.702
2019-03-13T07:45:00Z,PWC,11,0,71,102.992,9.60367
2019-03-13T08:00:00Z,PWC,11.01,0,71,102.98,9.538
2019-03-13T08:15:00Z,PWC,11,0,70.8,102.956,9.472
2019-03-13T08:30:00Z,PWC,11.02,0,70.9,102.95,9.373
2019-03-13T08:45:00Z,PWC,11.02,0,70.8,102.949,9.34033
2019-03-13T09:00:00Z,PWC,11.04,0,70.6,102.944,9.275
2019-03-13T09:15:00Z,PWC,11.05,0,70.5,102.941,9.176
2019-03-13T09:30:00Z,PWC,11.05,0,70.3,102.958,9.11
2019-03-13T09:45:00Z,PWC,11.06,0,70.3,102.959,9.044
2019-03-13T10:00:00Z,PWC,11.08,0,70.3,102.976,8.978
2019-03-13T10:15:00Z,PWC,11.09,0,70.1,103.005,8.945
2019-03-13T10:30:00Z,PWC,11.09,0,70.1,103.019,8.879
2019-03-13T10:45:00Z,PWC,11.11,0,70,103.052,8.81233
2019-03-13T11:00:00Z,PWC,11.14,0,69.9,103.063,8.779
2019-03-13T11:15:00Z,PWC,11.13,168.633,69.8,103.057,8.68
2019-03-13T11:30:00Z,PWC,11.15,868.3,69.7,103.056,8.647
2019-03-13T11:45:00Z,PWC,11.15,1980.57,69.6,103.055,8.581
2019-03-13T12:00:00Z,PWC,11.17,3157.43,69.5,103.047,8.54767
2019-03-13T12:15:00Z,PWC,11.19,4190.77,69.4,103.074,8.481
2019-03-13T12:30:00Z,PWC,11.23,6085.23,69.4,103.068,8.481
2019-03-13T12:45:00Z,PWC,11.27,8496.37,69.3,103.058,8.382
2019-03-13T13:00:00Z,PWC,11.33,9185.27,69.2,103.074,8.382
2019-03-13T13:15:00Z,PWC,11.41,19748.3,69.1,103.109,8.382
2019-03-13T13:30:00Z,PWC,11.43,34444.7,69.3,103.143,8.415
2019-03-13T13:45:00Z,PWC,11.52,18944.6,69.3,103.154,8.481
2019-03-13T14:00:00Z,PWC,11.6,27555.7,69.2,103.145,8.481
2019-03-13T14:15:00Z,PWC,11.67,44089.2,69.3,103.145,8.481
2019-03-13T14:30:00Z,PWC,11.77,70726.4,69.3,103.152,8.51433
2019-03-13T14:45:00Z,PWC,11.83,55111.4,69.4,103.141,8.581
2019-03-13T15:00:00Z,PWC,11.91,66822.7,69.4,103.136,8.647
2019-03-13T15:15:00Z,PWC,11.99,94608.1,69.6,103.134,8.779
2019-03-13T15:30:00Z,PWC,12.1,56030,69.7,103.12,8.84567
2019-03-13T15:45:00Z,PWC,12.22,42481.8,69.9,103.111,8.945
2019-03-13T16:00:00Z,PWC,12.33,50059.6,70.1,103.101,9.077
2019-03-13T16:15:00Z,PWC,12.48,49600.4,70.4,103.107,9.242
2019-03-13T16:30:00Z,PWC,12.56,53274.4,70.6,103.085,9.37333
2019-03-13T16:45:00Z,PWC,12.61,55111.5,70.8,103.077,9.538
2019-03-13T17:00:00Z,PWC,12.74,51437.4,71.3,103.033,9.702
2019-03-13T17:15:00Z,PWC,12.86,55111.4,71.4,103.019,9.86633
2019-03-13T17:30:00Z,PWC,12.93,102875,71.9,103.003,10.063
2019-03-13T17:45:00Z,PWC,12.98,106549,72.1,103.008,10.2263
2019-03-13T18:00:00Z,PWC,13.05,112060,72.4,102.981,10.4223
2019-03-13T18:15:00Z,PWC,13.12,68889.3,72.6,102.966,10.553
2019-03-13T18:30:00Z,PWC,13.14,112060,72.7,102.935,10.6833
2019-03-13T18:45:00Z,PWC,13.19,117571,73.1,102.889,10.8787
2019-03-13T19:00:00Z,PWC,13.21,64296.7,73.2,102.857,10.9763
2019-03-13T19:15:00Z,PWC,13.23,88178.3,73.4,102.851,11.1063
2019-03-13T19:30:00Z,PWC,13.3,57867.1,73.7,102.832,11.2037
2019-03-13T19:45:00Z,PWC,13.3,33066.9,73.7,102.818,11.3013
2019-03-13T20:00:00Z,PWC,13.31,29852,73.7,102.815,11.3987
2019-03-13T20:15:00Z,PWC,13.35,27096.5,74,102.814,11.4633
2019-03-13T20:30:00Z,PWC,13.34,22044.6,74.3,102.803,11.528
2019-03-13T20:45:00Z,PWC,13.33,23881.7,74.2,102.821,11.5927
2019-03-13T21:00:00Z,PWC,13.31,22274.2,74.3,102.812,11.625
2019-03-13T21:15:00Z,PWC,13.29,11251.9,74.3,102.811,11.6897
2019-03-13T21:30:00Z,PWC,13.27,7922.27,74.6,102.809,11.722
2019-03-13T21:45:00Z,PWC,13.24,11940.8,74.6,102.808,11.819
2019-03-13T22:00:00Z,PWC,13.15,8037.1,74.7,102.815,11.819
2019-03-13T22:15:00Z,PWC,13.09,6544.5,74.9,102.827,11.916
2019-03-13T22:30:00Z,PWC,12.98,5453.73,75,102.818,11.916
2019-03-13T22:45:00Z,PWC,12.9,3300.93,75.3,102.805,11.916
2019-03-13T23:00:00Z,PWC,12.81,1460.33,75.3,102.809,11.9483
2019-03-13T23:15:00Z,PWC,12.71,218.867,75.3,102.84,12.013
2019-03-13T23:30:00Z,PWC,12.63,28.7,75.4,102.859,12.013
2019-03-13T23:45:00Z,PWC,12.54,0,75.5,102.879,12.013
2019-03-14T00:00:00Z,PWC,12.39,0,75.6,102.873,11.916
2019-03-14T00:15:00Z,PWC,12.27,0,75.7,102.859,11.916
2019-03-14T00:30:00Z,PWC,12.14,0,75.8,102.863,11.916
2019-03-14T00:45:00Z,PWC,12.06,0,75.7,102.885,11.916
2019-03-14T01:00:00Z,PWC,11.96,0,75.7,102.853,11.819
2019-03-14T01:15:00Z,PWC,11.89,0,75.7,102.86,11.819
2019-03-14T01:30:00Z,PWC,11.81,0,75.7,102.854,11.7543
2019-03-14T01:45:00Z,PWC,11.72,0,75.8,102.87,11.722
2019-03-14T02:00:00Z,PWC,11.65,0,75.8,102.869,11.6897
2019-03-14T02:15:00Z,PWC,11.56,0,75.7,102.873,11.625
2019-03-14T02:30:00Z,PWC,11.5,0,75.9,102.87,11.625
2019-03-14T02:45:00Z,PWC,11.45,0,75.8,102.876,11.528
2019-03-14T03:00:00Z,PWC,11.38,0,75.9,102.873,11.528
2019-03-14T03:15:00Z,PWC,11.31,0,75.9,102.877,11.431
2019-03-14T03:30:00Z,PWC,11.27,0,75.7,102.883,11.431
2019-03-14T03:45:00Z,PWC,11.24,0,75.8,102.881,11.3663
2019-03-14T04:00:00Z,PWC,11.18,0,75.8,102.887,11.334
2019-03-14T04:15:00Z,PWC,11.13,0,75.8,102.877,11.236
