DateTime_UTC,site,DO_mgL,SpecCond_uScm,WaterPres_kPa,WaterTemp_C,WaterTemp2_C
2019-03-06T17:15:00Z,WB,12.75,52.8,103.911,6.82167,NA
2019-03-06T17:30:00Z,WB,12.82,53.1,103.865,6.909,NA
2019-03-06T17:45:00Z,WB,12.82,53.4,103.808,7.026,NA
2019-03-06T18:00:00Z,WB,12.84,53.5,103.791,7.14633,NA
2019-03-06T18:15:00Z,WB,12.84,53.7,103.744,7.243,NA
2019-03-06T18:30:00Z,WB,12.84,54,103.718,7.34,NA
2019-03-06T18:45:00Z,WB,12.82,54.1,103.711,7.437,NA
2019-03-06T19:00:00Z,WB,12.82,54.3,103.664,7.53033,NA
2019-03-06T19:15:00Z,WB,12.79,54.5,103.657,7.62733,NA
2019-03-06T19:30:00Z,WB,12.78,54.6,103.61,7.714,NA
2019-03-06T19:45:00Z,WB,12.74,54.8,103.564,7.79733,NA
2019-03-06T20:00:00Z,WB,12.73,55,103.504,7.83733,NA
2019-03-06T20:15:00Z,WB,12.7,55.1,103.477,7.89733,NA
2019-03-06T20:30:00Z,WB,12.67,55.1,103.447,7.92067,NA
2019-03-06T20:45:00Z,WB,12.65,55.3,103.398,7.93067,NA
2019-03-06T21:00:00Z,WB,12.62,55.3,103.338,7.93733,NA
2019-03-06T21:15:00Z,WB,12.6,55.5,103.311,7.981,NA
2019-03-06T21:30:00Z,WB,12.54,55.5,103.291,7.98433,NA
2019-03-06T21:45:00Z,WB,12.5,55.6,103.238,7.944,NA
2019-03-06T22:00:00Z,WB,12.47,55.7,103.199,7.93733,NA
2019-03-06T22:15:00Z,WB,12.43,55.7,103.189,7.92067,NA
2019-03-06T22:30:00Z,WB,12.42,55.8,103.199,7.904,NA
2019-03-06T22:45:00Z,WB,12.39,55.8,103.199,7.89067,NA
2019-03-06T23:00:00Z,WB,12.33,55.9,103.166,7.834,NA
2019-03-06T23:15:00Z,WB,12.3,56,103.156,7.80733,NA
2019-03-06T23:30:00Z,WB,12.26,56.1,103.176,7.78067,NA
2019-03-06T23:45:00Z,WB,12.22,56.1,103.183,7.71733,NA
2019-03-07T00:00:00Z,WB,12.18,56.2,103.173,7.69067,NA
2019-03-07T00:15:00Z,WB,12.15,56.4,103.189,7.614,NA
2019-03-07T00:30:00Z,WB,12.12,56.4,103.199,7.59067,NA
2019-03-07T00:45:00Z,WB,12.09,56.5,103.199,7.564,NA
2019-03-07T01:00:00Z,WB,12.06,56.6,103.186,7.50367,NA
2019-03-07T01:15:00Z,WB,12.04,56.8,103.216,7.47367,NA
2019-03-07T01:30:00Z,WB,12.02,56.9,103.213,7.407,NA
2019-03-07T01:45:00Z,WB,11.99,57,103.233,7.38033,NA
2019-03-07T02:00:00Z,WB,11.97,57.1,103.25,7.31333,NA
2019-03-07T02:15:00Z,WB,11.96,57.2,103.22,7.28,NA
2019-03-07T02:30:00Z,WB,11.94,57.2,103.227,7.213,NA
2019-03-07T02:45:00Z,WB,11.94,57.2,103.277,7.17633,NA
2019-03-07T03:00:00Z,WB,11.92,57.4,103.264,7.11633,NA
2019-03-07T03:15:00Z,WB,11.92,57.4,103.284,7.07967,NA
2019-03-07T03:30:00Z,WB,11.92,57.5,103.271,7.01267,NA
2019-03-07T03:45:00Z,WB,11.92,57.5,103.271,6.976,NA
2019-03-07T04:00:00Z,WB,11.91,57.5,103.278,6.91233,NA
2019-03-07T04:15:00Z,WB,11.91,57.6,103.258,6.879,NA
2019-03-07T04:30:00Z,WB,11.9,57.6,103.294,6.81167,NA
2019-03-07T04:45:00Z,WB,11.91,57.6,103.265,6.775,NA
2019-03-07T05:00:00Z,WB,11.9,57.6,103.252,6.71133,NA
2019-03-07T05:15:00Z,WB,11.89,57.6,103.252,6.68133,NA
2019-03-07T05:30:00Z,WB,11.92,57.7,103.252,6.65133,NA
2019-03-07T05:45:00Z,WB,11.91,57.7,103.249,6.591,NA
2019-03-07T06:00:00Z,WB,11.92,57.8,103.258,6.561,NA
2019-03-07T06:15:00Z,WB,11.93,57.8,103.245,6.49367,NA
2019-03-07T06:30:00Z,WB,11.95,57.8,103.255,6.467,NA
2019-03-07T06:45:00Z,WB,11.95,57.9,103.242,6.4,NA
2019-03-07T07:00:00Z,WB,11.96,57.9,103.232,6.37,NA
2019-03-07T07:15:00Z,WB,11.96,57.9,103.203,6.34333,NA
2019-03-07T07:30:00Z,WB,11.98,58,103.2,6.27267,NA
2019-03-07T07:45:00Z,WB,12.01,58,103.19,6.23933,NA
2019-03-07T08:00:00Z,WB,12.02,58.1,103.187,6.17867,NA
2019-03-07T08:15:00Z,WB,12.02,58,103.167,6.14867,NA
2019-03-07T08:30:00Z,WB,12.04,58.1,103.154,6.088,NA
2019-03-07T08:45:00Z,WB,12.06,58.1,103.174,6.05467,NA
2019-03-07T09:00:00Z,WB,12.06,58.1,103.21,5.984,NA
2019-03-07T09:15:00Z,WB,12.08,58.1,103.24,5.95733,NA
2019-03-07T09:30:00Z,WB,12.09,58.1,103.267,5.88667,NA
2019-03-07T09:45:00Z,WB,12.1,58.1,103.257,5.86333,NA
2019-03-07T10:00:00Z,WB,12.11,58.1,103.247,5.82667,NA
2019-03-07T10:15:00Z,WB,12.14,58,103.234,5.759,NA
2019-03-07T10:30:00Z,WB,12.14,58,103.264,5.729,NA
2019-03-07T10:45:00Z,WB,12.17,58,103.29,5.66167,NA
2019-03-07T11:00:00Z,WB,12.18,57.9,103.29,5.635,NA
2019-03-07T11:15:00Z,WB,12.23,57.9,103.277,5.57067,NA
2019-03-07T11:30:00Z,WB,12.23,57.9,103.277,5.544,NA
2019-03-07T11:45:00Z,WB,12.25,57.9,103.287,5.51733,NA
2019-03-07T12:00:00Z,WB,12.28,57.8,103.284,5.44667,NA
2019-03-07T12:15:00Z,WB,12.29,57.8,103.334,5.42,NA
2019-03-07T12:30:00Z,WB,12.32,57.7,103.331,5.35233,NA
2019-03-07T12:45:00Z,WB,12.34,57.7,103.331,5.33233,NA
2019-03-07T13:00:00Z,WB,12.39,57.7,103.351,5.31567,NA
2019-03-07T13:15:00Z,WB,12.43,57.7,103.361,5.30567,NA
2019-03-07T13:30:00Z,WB,12.45,57.7,103.401,5.299,NA
2019-03-07T13:45:00Z,WB,12.49,57.7,103.407,5.25467,NA
2019-03-07T14:00:00Z,WB,12.54,57.8,103.407,5.26133,NA
2019-03-07T14:15:00Z,WB,12.57,57.8,103.437,5.278,NA
2019-03-07T14:30:00Z,WB,12.63,57.8,103.401,5.34233,NA
2019-03-07T14:45:00Z,WB,12.69,58,103.401,5.37567,NA
2019-03-07T15:00:00Z,WB,12.73,58,103.344,5.44,NA
2019-03-07T15:15:00Z,WB,12.78,58.1,103.344,5.46333,NA
2019-03-07T15:30:00Z,WB,12.82,58.2,103.327,5.52733,NA
2019-03-07T15:45:00Z,WB,12.87,58.2,103.327,5.564,NA
2019-03-07T16:00:00Z,WB,12.91,58.3,103.34,5.64167,NA
2019-03-07T16:15:00Z,WB,12.94,58.4,103.31,5.65833,NA
2019-03-07T16:30:00Z,WB,12.99,58.5,103.261,5.69167,NA
2019-03-07T16:45:00Z,WB,13.02,58.5,103.264,5.75233,NA
2019-03-07T17:00:00Z,WB,13.05,58.6,103.274,5.789,NA
2019-03-07T17:15:00Z,WB,13.09,58.7,103.257,5.87333,NA
2019-03-07T17:30:00Z,WB,13.09,58.9,103.22,5.95067,NA
2019-03-07T17:45:00Z,WB,13.13,58.9,103.18,6.00067,NA
2019-03-07T18:00:00Z,WB,13.13,59,103.144,6.09133,NA
2019-03-07T18:15:00Z,WB,13.16,59.3,103.127,6.18533,NA
2019-03-07T18:30:00Z,WB,13.18,59.4,103.09,6.29933,NA
2019-03-07T18:45:00Z,WB,13.17,59.4,103.073,6.35333,NA
2019-03-07T19:00:00Z,WB,13.2,59.6,103.073,6.41333,NA
2019-03-07T19:15:00Z,WB,13.2,59.7,103.037,6.51367,NA
2019-03-07T19:30:00Z,WB,13.2,59.9,103.02,6.601,NA
2019-03-07T19:45:00Z,WB,13.19,60,103.023,6.68133,NA
2019-03-07T20:00:00Z,WB,13.17,60.1,102.996,6.76167,NA
2019-03-07T20:15:00Z,WB,13.17,60.2,102.996,6.81167,NA
2019-03-07T20:30:00Z,WB,13.14,60.4,102.989,6.89567,NA
2019-03-07T20:45:00Z,WB,13.12,60.4,102.982,6.97267,NA
2019-03-07T21:00:00Z,WB,13.1,60.6,102.972,7.01267,NA
2019-03-07T21:15:00Z,WB,13.07,60.6,102.995,7.08633,NA
2019-03-07T21:30:00Z,WB,13.04,60.7,102.985,7.113,NA
2019-03-07T21:45:00Z,WB,13.02,60.8,102.978,7.17633,NA
2019-03-07T22:00:00Z,WB,12.99,60.8,102.988,7.19967,NA
2019-03-07T22:15:00Z,WB,12.93,60.9,102.988,7.20967,NA
2019-03-07T22:30:00Z,WB,12.9,60.9,102.981,7.26,NA
2019-03-07T22:45:00Z,WB,12.86,60.9,102.991,7.27333,NA
2019-03-07T23:00:00Z,WB,12.81,61,103.001,7.27333,NA
2019-03-07T23:15:00Z,WB,12.76,61.2,102.971,7.27,NA
2019-03-07T23:30:00Z,WB,12.71,61.2,102.991,7.26667,NA
2019-03-07T23:45:00Z,WB,12.67,61.2,103.001,7.26333,NA
2019-03-08T00:00:00Z,WB,12.62,61.2,103.041,7.24667,NA
2019-03-08T00:15:00Z,WB,12.6,61.2,103.038,7.213,NA
2019-03-08T00:30:00Z,WB,12.53,61.2,103.048,7.20633,NA
2019-03-08T00:45:00Z,WB,12.49,61.2,103.028,7.19633,NA
2019-03-08T01:00:00Z,WB,12.45,61.3,103.068,7.193,NA
2019-03-08T01:15:00Z,WB,12.4,61.3,103.038,7.17967,NA
2019-03-08T01:30:00Z,WB,12.36,61.3,103.018,7.17633,NA
2019-03-08T01:45:00Z,WB,12.32,61.3,103.028,7.17633,NA
2019-03-08T02:00:00Z,WB,12.28,61.4,103.048,7.16967,NA
2019-03-08T02:15:00Z,WB,12.25,61.4,103.068,7.153,NA
2019-03-08T02:30:00Z,WB,12.23,61.4,103.078,7.13967,NA
2019-03-08T02:45:00Z,WB,12.2,61.5,103.065,7.10633,NA
2019-03-08T03:00:00Z,WB,12.16,61.4,103.095,7.09967,NA
2019-03-08T03:15:00Z,WB,12.14,61.4,103.095,7.083,NA
2019-03-08T03:30:00Z,WB,12.12,61.4,103.085,7.06633,NA
2019-03-08T03:45:00Z,WB,12.1,61.4,103.065,7.063,NA
2019-03-08T04:00:00Z,WB,12.08,61.4,103.035,7.053,NA
