system:index,date,pdsi,.geo
196001,1960-01-01,250,"{""type"":""MultiPoint"",""coordinates"":[]}"
196002,1960-02-01,343,"{""type"":""MultiPoint"",""coordinates"":[]}"
196003,1960-03-01,358,"{""type"":""MultiPoint"",""coordinates"":[]}"
196004,1960-04-01,357,"{""type"":""MultiPoint"",""coordinates"":[]}"
196005,1960-05-01,340,"{""type"":""MultiPoint"",""coordinates"":[]}"
196006,1960-06-01,236,"{""type"":""MultiPoint"",""coordinates"":[]}"
196007,1960-07-01,251,"{""type"":""MultiPoint"",""coordinates"":[]}"
196008,1960-08-01,255,"{""type"":""MultiPoint"",""coordinates"":[]}"
196009,1960-09-01,256,"{""type"":""MultiPoint"",""coordinates"":[]}"
196010,1960-10-01,199,"{""type"":""MultiPoint"",""coordinates"":[]}"
196011,1960-11-01,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
196012,1960-12-01,-194,"{""type"":""MultiPoint"",""coordinates"":[]}"
196101,1961-01-01,-253,"{""type"":""MultiPoint"",""coordinates"":[]}"
196102,1961-02-01,-218,"{""type"":""MultiPoint"",""coordinates"":[]}"
196103,1961-03-01,-198,"{""type"":""MultiPoint"",""coordinates"":[]}"
196104,1961-04-01,-131,"{""type"":""MultiPoint"",""coordinates"":[]}"
196105,1961-05-01,-93,"{""type"":""MultiPoint"",""coordinates"":[]}"
196106,1961-06-01,159,"{""type"":""MultiPoint"",""coordinates"":[]}"
196107,1961-07-01,143,"{""type"":""MultiPoint"",""coordinates"":[]}"
196108,1961-08-01,219,"{""type"":""MultiPoint"",""coordinates"":[]}"
196109,1961-09-01,133,"{""type"":""MultiPoint"",""coordinates"":[]}"
196110,1961-10-01,-127,"{""type"":""MultiPoint"",""coordinates"":[]}"
196111,1961-11-01,-165,"{""type"":""MultiPoint"",""coordinates"":[]}"
196112,1961-12-01,-139,"{""type"":""MultiPoint"",""coordinates"":[]}"
196201,1962-01-01,112,"{""type"":""MultiPoint"",""coordinates"":[]}"
196202,1962-02-01,92,"{""type"":""MultiPoint"",""coordinates"":[]}"
196203,1962-03-01,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
196204,1962-04-01,148,"{""type"":""MultiPoint"",""coordinates"":[]}"
196205,1962-05-01,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
196206,1962-06-01,141,"{""type"":""MultiPoint"",""coordinates"":[]}"
196207,1962-07-01,199,"{""type"":""MultiPoint"",""coordinates"":[]}"
196208,1962-08-01,167,"{""type"":""MultiPoint"",""coordinates"":[]}"
196209,1962-09-01,194,"{""type"":""MultiPoint"",""coordinates"":[]}"
196210,1962-10-01,111,"{""type"":""MultiPoint"",""coordinates"":[]}"
196211,1962-11-01,231,"{""type"":""MultiPoint"",""coordinates"":[]}"
196212,1962-12-01,239,"{""type"":""MultiPoint"",""coordinates"":[]}"
196301,1963-01-01,214,"{""type"":""MultiPoint"",""coordinates"":[]}"
196302,1963-02-01,214,"{""type"":""MultiPoint"",""coordinates"":[]}"
196303,1963-03-01,191,"{""type"":""MultiPoint"",""coordinates"":[]}"
196304,1963-04-01,126,"{""type"":""MultiPoint"",""coordinates"":[]}"
196305,1963-05-01,108,"{""type"":""MultiPoint"",""coordinates"":[]}"
196306,1963-06-01,-48,"{""type"":""MultiPoint"",""coordinates"":[]}"
196307,1963-07-01,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
196308,1963-08-01,-158,"{""type"":""MultiPoint"",""coordinates"":[]}"
196309,1963-09-01,-120,"{""type"":""MultiPoint"",""coordinates"":[]}"
196310,1963-10-01,-231,"{""type"":""MultiPoint"",""coordinates"":[]}"
196311,1963-11-01,-104,"{""type"":""MultiPoint"",""coordinates"":[]}"
196312,1963-12-01,144,"{""type"":""MultiPoint"",""coordinates"":[]}"
196401,1964-01-01,171,"{""type"":""MultiPoint"",""coordinates"":[]}"
196402,1964-02-01,215,"{""type"":""MultiPoint"",""coordinates"":[]}"
196403,1964-03-01,153,"{""type"":""MultiPoint"",""coordinates"":[]}"
196404,1964-04-01,158,"{""type"":""MultiPoint"",""coordinates"":[]}"
196405,1964-05-01,-110,"{""type"":""MultiPoint"",""coordinates"":[]}"
196406,1964-06-01,-160,"{""type"":""MultiPoint"",""coordinates"":[]}"
196407,1964-07-01,-148,"{""type"":""MultiPoint"",""coordinates"":[]}"
196408,1964-08-01,-94,"{""type"":""MultiPoint"",""coordinates"":[]}"
196409,1964-09-01,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
196410,1964-10-01,194,"{""type"":""MultiPoint"",""coordinates"":[]}"
196411,1964-11-01,149,"{""type"":""MultiPoint"",""coordinates"":[]}"
196412,1964-12-01,201,"{""type"":""MultiPoint"",""coordinates"":[]}"
196501,1965-01-01,112,"{""type"":""MultiPoint"",""coordinates"":[]}"
196502,1965-02-01,105,"{""type"":""MultiPoint"",""coordinates"":[]}"
196503,1965-03-01,155,"{""type"":""MultiPoint"",""coordinates"":[]}"
196504,1965-04-01,122,"{""type"":""MultiPoint"",""coordinates"":[]}"
196505,1965-05-01,-80,"{""type"":""MultiPoint"",""coordinates"":[]}"
196506,1965-06-01,87,"{""type"":""MultiPoint"",""coordinates"":[]}"
196507,1965-07-01,242,"{""type"":""MultiPoint"",""coordinates"":[]}"
196508,1965-08-01,232,"{""type"":""MultiPoint"",""coordinates"":[]}"
196509,1965-09-01,211,"{""type"":""MultiPoint"",""coordinates"":[]}"
196510,1965-10-01,162,"{""type"":""MultiPoint"",""coordinates"":[]}"
196511,1965-11-01,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
196512,1965-12-01,-219,"{""type"":""MultiPoint"",""coordinates"":[]}"
196601,1966-01-01,-208,"{""type"":""MultiPoint"",""coordinates"":[]}"
196602,1966-02-01,-152,"{""type"":""MultiPoint"",""coordinates"":[]}"
196603,1966-03-01,-190,"{""type"":""MultiPoint"",""coordinates"":[]}"
196604,1966-04-01,-186,"{""type"":""MultiPoint"",""coordinates"":[]}"
