distance_m,mardepth_m,octdepth_m,width_m,habitat,octavg_depth,maravg_depth,oct_xcarea,mar_xcarea,oct_width,mar_width
0,1.32,0.71,12,pool,0.4649026078172683,0.8982428179742667,5.947430216753639,12.21393158684835,13.36344783586836,16.67919174662775
50,0.38,0.1,15,riffle,0.03156239766026997,0.23047265806020362,-0.3190711533410715,2.557355705063058,10.047703925108967,11.569684736605081
65,0.635,0.2025,14,run,0.10437776084238856,0.4116230737815718,0.7339065358961545,5.176958736823962,10.604857615031653,12.955774404217614
100,0.89,0.305,13,run,0.17719312402450713,0.59277348950294,1.7868842251333803,7.796561768584866,11.162011304954337,14.341864071830148
150,0.915,0.94,19,run,0.628293178860071,0.6105333341815056,8.310209421871317,8.053385595228091,14.613646359597311,14.477755215713728
161,1.0166666666666666,1.0066666666666666,18.4,pool,0.6756527646695789,0.6827567025410051,8.995072959586585,9.097802490243875,14.976022743286862,15.030379200840294
190,1.1183333333333334,1.0733333333333333,17.8,pool,0.7230123504790869,0.754980070900505,9.679936497301854,10.142219385259661,15.338399126976412,15.58300318596686
200,1.22,1.14,17.2,pool,0.770371936288595,0.8272034392600047,10.364800035017122,11.186636280275446,15.700775510665963,16.135627171093425
250,1.205,0.79,21,pool,0.5217341107886779,0.8165475324528655,6.769266462011963,11.032541984289512,13.79829949629582,16.054092484763274
270,0.805,0.45,16.7,riffle,0.28020022316018706,0.5323900175958174,3.2764624196640906,6.923360757997898,11.95017993947911,13.87983418262597
300,0.405,0.11,12.4,riffle,0.03866633553169617,0.24823250273876918,-0.2163416226837811,2.8141795317062837,10.102060382662401,11.705575880488663
310,0.35250000000000004,0.08499999999999999,13,run,0.020906490853130663,0.21093682891378163,-0.473165449327007,2.27484949575551,9.96616923877882,11.420204478333142
350,0.3,0.06,13.6,run,0.003146646174565157,0.17364115508879402,-0.7299892759702329,1.7355194598047354,9.830278094895238,11.134833076177621
390,0.35250000000000004,0.065,12.05,riffle,0.006698615110278264,0.21093682891378163,-0.6786245106415876,2.27484949575551,9.857456323671954,11.420204478333142
400,0.405,0.07,10.5,riffle,0.010250584045991364,0.24823250273876918,-0.6272597453129424,2.8141795317062837,9.88463455244867,11.705575880488663
422,0.775,0.55,10.9,pool,0.35123960187444914,0.5110782039815387,4.303757726236994,6.615172166026026,12.493744515013438,13.716764809965671
450,1.145,1.03,11.3,run,0.6922286197029068,0.7739239052243081,9.23477519778693,10.416164800345769,15.102854477578205,15.727953739442679
463,0.9025,0.915,16.65,run,0.6105333341815056,0.6016534118422228,8.053385595228091,7.9249736819064776,14.477755215713728,14.409809643771936
500,0.66,0.8,22,pool,0.5288380486601041,0.4293829184601373,6.871995992669252,5.4337825634671875,13.852655953849254,13.091665548101197
510,0.5025,0.425,17.4,run,0.26244037848162155,0.3174958969851746,3.019638593020864,3.815792455614864,11.814288795595528,12.235551341634633
550,0.345,0.05,12.8,riffle,-0.003957291696861043,0.20560887551021192,-0.8327188066275232,2.1978023477625417,9.775921637341805,11.379437135168068
585,0.3125,0.065,14.2,riffle,0.006698615110278264,0.18252107742807677,-0.6786245106415876,1.8639313731263483,9.857456323671954,11.202778648119413
600,0.28,0.08,15.6,riffle,0.017354521917417563,0.15943327934594162,-0.5245302146556521,1.530060398490155,9.938991010002102,11.026120161070756
606,0.5975,0.2725,13.85,pool,0.15410532594237197,0.38498330676372355,1.453013250497187,4.791722996859123,10.985352817905682,12.751937688392243
650,0.915,0.465,12.1,run,0.2908561299673264,0.6105333341815056,3.4305567156500256,8.053385595228091,12.03171462580926,14.477755215713728
666,0.775,0.37625,11.975,run,0.2278086813584188,0.5110782039815387,2.518832131066574,6.615172166026026,11.549301065022544,13.716764809965671
676,0.635,0.2875,11.85,riffle,0.16476123274951124,0.4116230737815718,1.6071075464831222,5.176958736823962,11.06688750423583,12.955774404217614
683,0.495,0.19875,11.725,run,0.10171378414060372,0.312167943581605,0.6953829618996707,3.7387453076218966,10.584473943449115,12.194783998469557
700,0.355,0.11,11.6,riffle,0.03866633553169617,0.2127128133816381,-0.2163416226837811,2.3005318784198323,10.102060382662401,11.4337935927215
722,0.32,0.10166666666666668,12.233333333333333,riffle,0.032746387305507677,0.18784903083164642,-0.3019495648981896,1.9409785211193162,10.056763334701207,11.243545991284487
746,0.28500000000000003,0.09333333333333334,12.866666666666667,run,0.02682643907931917,0.16298524828165473,-0.3875575071125983,1.5814251638188,10.011466286740013,11.053298389847471
750,0.25,0.085,13.5,riffle,0.02090649085313067,0.138121465731663,-0.4731654493270069,1.2218718065182836,9.96616923877882,10.863050788410458
800,0.3670000000000001,0.15,13,run,0.06708208701740098,0.22123753882734964,0.1945764999453803,2.423807315208582,10.31948621287613,11.499021341785621
814,0.45633333333333337,0.18,14.5,run,0.0883939006316796,0.28469938381209037,0.5027650919172513,3.3415244557470407,10.48255558553643,11.984605695929618
816,0.5456666666666667,0.21,16,pool,0.10970571424595818,0.3481612287968311,0.810953683889122,4.259241596285502,10.645624958196727,12.470190050073617
850,0.635,0.24,17.5,run,0.1310175278602368,0.4116230737815718,1.119142275860993,5.176958736823962,10.808694330857024,12.955774404217614
860,0.855,0.49666666666666665,15.5,riffle,0.3133519332268426,0.5679097069529482,3.755866896064778,7.437008411284349,12.203843408061797,14.151616470393133
870,1.075,0.7533333333333333,13.5,run,0.4956863385934485,0.7241963401243248,6.392591516268563,9.697058085744736,13.598992485266567,15.34745853656865
900,1.295,1.01,11.5,run,0.6780207439600543,0.8804829732957011,9.02931613647235,11.957107760205123,14.994141562471338,16.543300602744168
927,0.8775,0.6925,14.5,riffle,0.45247071654227244,0.5838935671636571,5.767653538103381,7.668149855263252,13.268324035149853,14.273918499888357
950,0.46,0.375,17.5,run,0.22692068912449054,0.28730416103161327,2.5059909397344127,3.379191950321381,11.542506507828366,12.004536397032544
1000,0.585,0.185,17.3,run,0.0919458695673927,0.37610338442444075,0.5541298572458964,4.66331108353751,10.509733814313146,12.683992116450451
1005,0.7133333333333333,0.49666666666666665,17.066666666666666,riffle,0.3133519332268426,0.46727058710774366,3.755866896064778,5.981673393639402,12.203843408061797,13.381566655052836
1020,0.8416666666666666,0.8083333333333333,16.833333333333336,pool,0.5347579968862926,0.5584377897910466,6.957603934883661,7.300035703741294,13.897953001810446,14.079141193655222
1050,0.97,1.12,16.6,pool,0.7561640605457427,0.6496049924743497,10.159340973702545,8.618398013843187,15.5920625955591,14.776715732257607
1100,1.02,1.23,17.4,run,0.8343073771314309,0.6851246818314807,11.289365810932736,9.13204566712964,16.189983628646857,15.048498020024772
