site,location_m,date,time,stage_m,notes,width,xc_area,depth_avg,velocity_avg,discharge,depth_thalweg,DateTime_EST,level_m
NHC,0,2016-09-22,08:00:00,1.3,NA,14.3,6.718,0.46979020979020975,0.6019678475736826,4.04402,0.72,2016-09-22T13:00:00Z,0.9409372953344838
NHC,0,2016-10-11,10:30:00,1.03,NA,9.5,4.51,0.4747368421052631,0.18119041019955656,0.81716875,0.96,2016-10-11T15:30:00Z,1.1089969225068783
NHC,0,2016-12-01,10:00:00,0.95,NA,9.7,3.6199999999999997,0.3731958762886598,0.06383632596685082,0.23108749999999997,0.72,2016-12-01T15:00:00Z,NA
NHC,0,2017-01-12,10:00:00,1.2,NA,11.5,4.28,0.3721739130434783,0.2835023364485981,1.21339,0.76,2017-01-12T15:00:00Z,1.1587755955475918
NHC,0,2017-02-15,13:00:00,0.97,NA,11.9,3.2,0.2689075630252101,0.0879609375,0.28147500000000003,0.64,2017-02-15T18:00:00Z,0.9286773159921551
NHC,0,2017-03-14,09:00:00,1.06,NA,11.7,3.947,0.33735042735042736,0.1941699391943248,0.76638875,0.72,2017-03-14T14:00:00Z,1.048969512012544
NHC,0,2017-05-02,10:00:00,1.08,NA,11.5,3.171,0.2757391304347826,0.5686691895301167,1.80325,0.64,2017-05-02T15:00:00Z,1.0092589209558243
NHC,0,2017-05-05,09:45:00,1.37,NA,14.9,9.3105,0.6248657718120805,0.6740663766715,6.275895,0.85,2017-05-05T14:45:00Z,1.5562771600440797
NHC,0,2017-05-06,11:00:00,1.23,NA,14,4.6465,0.3318928571428571,0.5179379640589692,2.40659875,0.48,2017-05-06T16:00:00Z,1.1862668698491696
NHC,0,2017-06-21,10:00:00,1.33,NA,11.5,6.123,0.5324347826086957,0.5470153519516577,3.349375,0.93,2017-06-21T15:00:00Z,1.3375125060256425
NHC,0,2018-01-24,15:30:00,1.01,NA,10.4,3.8945,0.3744711538461538,0.1817868147387341,0.7079687499999999,0.68,2018-01-24T20:30:00Z,1.0683888812377793
NHC,0,2018-03-13,15:30:00,1.19,NA,10.9,5.4425088,0.49931273394495407,0.36281418010752686,1.9746193679999997,0.85344,2018-03-13T20:30:00Z,1.2267528103075742
