date,time,site,stage_m,width_m,distance_m,depth_m,velocity_ms,notes
2016-09-22,8:00,NHC,1.3,,0,0,0,
2016-09-22,8:00,NHC,1.3,,0.3,0,0,
2016-09-22,8:00,NHC,1.3,,0.5,0.19,0.1,
2016-09-22,8:00,NHC,1.3,,1,0.37,0.24,
2016-09-22,8:00,NHC,1.3,,1.5,0.42,0.54,
2016-09-22,8:00,NHC,1.3,,2,0.44,0.46,
2016-09-22,8:00,NHC,1.3,,2.5,0.45,0.44,
2016-09-22,8:00,NHC,1.3,,3,0.49,0.4,
2016-09-22,8:00,NHC,1.3,,3.5,0.55,0.43,
2016-09-22,8:00,NHC,1.3,,4,0.55,0.43,
2016-09-22,8:00,NHC,1.3,,4.5,0.44,0.49,
2016-09-22,8:00,NHC,1.3,,5,0.42,0.54,
2016-09-22,8:00,NHC,1.3,,5.5,0.52,0.84,
2016-09-22,8:00,NHC,1.3,,6,0.53,0.65,
2016-09-22,8:00,NHC,1.3,,6.5,0.54,0.58,
2016-09-22,8:00,NHC,1.3,,7,0.55,0.63,
2016-09-22,8:00,NHC,1.3,,7.5,0.65,0.72,
2016-09-22,8:00,NHC,1.3,,8,0.67,0.72,
2016-09-22,8:00,NHC,1.3,,8.5,0.72,0.74,
2016-09-22,8:00,NHC,1.3,,9,0.68,0.79,
2016-09-22,8:00,NHC,1.3,,9.5,0.6,0.85,
2016-09-22,8:00,NHC,1.3,,10,0.56,0.79,
2016-09-22,8:00,NHC,1.3,,10.5,0.41,0.73,
2016-09-22,8:00,NHC,1.3,,11,0.37,0.72,
2016-09-22,8:00,NHC,1.3,,11.5,0.4,0.73,
2016-09-22,8:00,NHC,1.3,,12,0.44,0.66,
2016-09-22,8:00,NHC,1.3,,12.5,0.49,0.62,
2016-09-22,8:00,NHC,1.3,,13,0.53,0.43,
2016-09-22,8:00,NHC,1.3,,13.5,0.52,0.35,
2016-09-22,8:00,NHC,1.3,,13.9,0.09,0.16,
2016-09-22,8:00,NHC,1.3,,14,0,0.02,
2016-09-22,8:00,NHC,1.3,,14.3,0,0,
2016-10-11,10:30,NHC,1.03,,0,0,0,
2016-10-11,10:30,NHC,1.03,,0.5,0.08,0.07,
2016-10-11,10:30,NHC,1.03,,1,0.22,0.09,
2016-10-11,10:30,NHC,1.03,,1.5,0.26,0.05,
2016-10-11,10:30,NHC,1.03,,2,0.43,0.1,
2016-10-11,10:30,NHC,1.03,,2.5,0.48,0.09,
2016-10-11,10:30,NHC,1.03,,3,0.48,0.1,
2016-10-11,10:30,NHC,1.03,,3.5,0.5,0.16,
2016-10-11,10:30,NHC,1.03,,4,0.52,0.21,
2016-10-11,10:30,NHC,1.03,,4.5,0.68,0.15,
2016-10-11,10:30,NHC,1.03,,5,0.6,0.18,
2016-10-11,10:30,NHC,1.03,,5.5,0.52,0.14,
2016-10-11,10:30,NHC,1.03,,6,0.63,0.21,
2016-10-11,10:30,NHC,1.03,,6.5,0.56,0.2,
2016-10-11,10:30,NHC,1.03,,7,0.86,0.23,
2016-10-11,10:30,NHC,1.03,,7.5,0.96,0.27,
2016-10-11,10:30,NHC,1.03,,8,0.62,0.25,
2016-10-11,10:30,NHC,1.03,,8.5,0.37,0.24,
2016-10-11,10:30,NHC,1.03,,9,0.18,0.24,
2016-10-11,10:30,NHC,1.03,,9.5,0.14,0.1,
2016-12-01,10:00,NHC,0.95,,0,0.02,0,
2016-12-01,10:00,NHC,0.95,,0.2,0.03,0,
2016-12-01,10:00,NHC,0.95,,0.7,0.03,0,
2016-12-01,10:00,NHC,0.95,,1.2,0.04,0,
2016-12-01,10:00,NHC,0.95,,1.7,0.15,0.03,
2016-12-01,10:00,NHC,0.95,,2.2,0.2,0.03,
2016-12-01,10:00,NHC,0.95,,2.7,0.28,0.04,
2016-12-01,10:00,NHC,0.95,,3.2,0.38,0.05,
2016-12-01,10:00,NHC,0.95,,3.7,0.5,0.07,
2016-12-01,10:00,NHC,0.95,,4.2,0.53,0.06,
2016-12-01,10:00,NHC,0.95,,4.7,0.7,0.07,
2016-12-01,10:00,NHC,0.95,,5.2,0.66,0.08,
2016-12-01,10:00,NHC,0.95,,5.7,0.72,0.08,
2016-12-01,10:00,NHC,0.95,,6.2,0.69,0.08,
2016-12-01,10:00,NHC,0.95,,6.7,0.6,0.08,
2016-12-01,10:00,NHC,0.95,,7.2,0.47,0.08,
2016-12-01,10:00,NHC,0.95,,7.7,0.3,0.06,
2016-12-01,10:00,NHC,0.95,,8.2,0.38,0.05,
2016-12-01,10:00,NHC,0.95,,8.7,0.3,0.04,
2016-12-01,10:00,NHC,0.95,,9.2,0.26,0.03,
2016-12-01,10:00,NHC,0.95,,9.7,0.05,0,
2017-01-12,10:00,NHC,1.2,,0,0,0,
2017-01-12,10:00,NHC,1.2,,0.5,0,0,
2017-01-12,10:00,NHC,1.2,,1,0,0,
2017-01-12,10:00,NHC,1.2,,1.5,0.02,0,
2017-01-12,10:00,NHC,1.2,,2,0.15,0.05,
2017-01-12,10:00,NHC,1.2,,2.5,0.16,0.04,
2017-01-12,10:00,NHC,1.2,,3,0.22,0.08,
2017-01-12,10:00,NHC,1.2,,3.5,0.24,0.18,
2017-01-12,10:00,NHC,1.2,,4,0.22,0.08,
2017-01-12,10:00,NHC,1.2,,4.5,0.38,0.25,
2017-01-12,10:00,NHC,1.2,,5,0.38,0.25,
2017-01-12,10:00,NHC,1.2,,5.5,0.62,0.3,
2017-01-12,10:00,NHC,1.2,,6,0.63,0.34,
2017-01-12,10:00,NHC,1.2,,6.5,0.67,0.33,
2017-01-12,10:00,NHC,1.2,,7,0.72,0.38,
2017-01-12,10:00,NHC,1.2,,7.5,0.76,0.38,
2017-01-12,10:00,NHC,1.2,,8,0.7,0.35,
2017-01-12,10:00,NHC,1.2,,8.5,0.59,0.34,
2017-01-12,10:00,NHC,1.2,,9,0.5,0.35,
2017-01-12,10:00,NHC,1.2,,9.5,0.46,0.34,
2017-01-12,10:00,NHC,1.2,,10,0.44,0.28,
2017-01-12,10:00,NHC,1.2,,10.5,0.38,0.16,
2017-01-12,10:00,NHC,1.2,,11,0.35,0.03,
2017-01-12,10:00,NHC,1.2,,11.4,0.01,0,
2017-01-12,10:00,NHC,1.2,,11.5,0,0,
2017-02-15,13:00,NHC,0.97,,0,0,0,
2017-02-15,13:00,NHC,0.97,,0.4,0,0,
2017-02-15,13:00,NHC,0.97,,0.9,0,0,
2017-02-15,13:00,NHC,0.97,,1.4,0.01,0,
2017-02-15,13:00,NHC,0.97,,1.9,0.03,0,
2017-02-15,13:00,NHC,0.97,,2.4,0.01,0,
2017-02-15,13:00,NHC,0.97,,2.9,0.07,0.01,
2017-02-15,13:00,NHC,0.97,,3.4,0.12,0.03,
2017-02-15,13:00,NHC,0.97,,3.9,0.22,0.03,
2017-02-15,13:00,NHC,0.97,,4.4,0.3,0.02,
2017-02-15,13:00,NHC,0.97,,4.9,0.48,0.07,
2017-02-15,13:00,NHC,0.97,,5.4,0.53,0.08,
2017-02-15,13:00,NHC,0.97,,5.9,0.58,0.09,
2017-02-15,13:00,NHC,0.97,,6.4,0.64,0.12,
2017-02-15,13:00,NHC,0.97,,6.9,0.64,0.13,
2017-02-15,13:00,NHC,0.97,,7.4,0.62,0.11,
2017-02-15,13:00,NHC,0.97,,7.9,0.52,0.12,
2017-02-15,13:00,NHC,0.97,,8.4,0.44,0.1,
2017-02-15,13:00,NHC,0.97,,8.9,0.36,0.09,
2017-02-15,13:00,NHC,0.97,,9.4,0.34,0.09,
2017-02-15,13:00,NHC,0.97,,9.9,0.27,0.07,
2017-02-15,13:00,NHC,0.97,,10.4,0.21,0.02,
2017-02-15,13:00,NHC,0.97,,10.9,0.01,0,
2017-02-15,13:00,NHC,0.97,,11.4,0,0,
2017-02-15,13:00,NHC,0.97,,11.9,0,0,
2017-03-14,9:00,NHC,1.06,,0,0,0,
2017-03-14,9:00,NHC,1.06,,0.3,0,0,
2017-03-14,9:00,NHC,1.06,,0.6,0,0,
2017-03-14,9:00,NHC,1.06,,0.9,0.01,0,
2017-03-14,9:00,NHC,1.06,,1.4,0.09,0.01,
2017-03-14,9:00,NHC,1.06,,1.9,0.1,0,
2017-03-14,9:00,NHC,1.06,,2.4,0.08,0.02,
2017-03-14,9:00,NHC,1.06,,2.9,0.2,0.04,
2017-03-14,9:00,NHC,1.06,,3.4,0.17,0.08,
2017-03-14,9:00,NHC,1.06,,3.9,0.17,0,
2017-03-14,9:00,NHC,1.06,,4.4,0.36,0.11,
2017-03-14,9:00,NHC,1.06,,4.9,0.52,0.18,
2017-03-14,9:00,NHC,1.06,,5.4,0.59,0.19,
2017-03-14,9:00,NHC,1.06,,5.9,0.64,0.26,
2017-03-14,9:00,NHC,1.06,,6.4,0.7,0.24,
2017-03-14,9:00,NHC,1.06,,6.9,0.7,0.29,
2017-03-14,9:00,NHC,1.06,,7.4,0.72,0.22,
