year,season,m_discharge_gpp,m_temperature_gpp,m_light_mmol_gpp,r_discharge_gpp,r_temperature_gpp,r_light_mmol_gpp,m_discharge_er,m_temperature_er,m_light_mmol_er,r_discharge_er,r_temperature_er,r_light_mmol_er
2017,1,-0.11,0.15,0.09,-0.04,0.14,0.18,-0.25,-0.48,0.16,-0.16,-0.78,0.52
2017,2,0.58,-0.31,1.54,0.85,-0.14,0.26,0.6,-0.58,1.2,0.59,-0.17,0.13
2017,3,0.08,-0.09,0.09,0.07,-0.13,0.13,1.85,-1.07,0.78,0.61,-0.55,0.39
2017,4,0.6,1.02,0.54,0.63,0.73,0.7,0.85,0.3,0.3,0.72,0.18,0.33
2017,all,0.55,0.06,0.25,0.69,0.07,0.36,1.06,-0.5,0.49,0.79,-0.35,0.42
2018,1,0.93,-0.32,0.36,0.25,-0.21,0.5,0.48,-0.48,0.12,0.25,-0.62,0.33
2018,2,0.58,0.23,0.79,0.35,0.09,0.19,-0.16,0.02,-0.82,-0.09,0.01,-0.19
2018,3,-0.25,0.18,-0.15,-0.37,0.57,-0.39,0.31,-0.28,0.26,0.39,-0.72,0.57
2018,4,0.68,0.77,0.1,0.65,0.68,0.12,0.42,0.23,0.1,0.49,0.24,0.14
2018,all,0.51,0.1,0.33,0.28,0.11,0.41,0.28,-0.16,0.1,0.3,-0.35,0.22
2019,1,0.67,-0.49,0.44,0.28,-0.39,0.62,-0.23,-0.1,0.07,-0.32,-0.27,0.31
2019,2,0.84,-1.46,0.09,0.38,-0.52,0.02,0.47,-0.61,0.18,0.3,-0.31,0.05
2019,3,0.07,0.02,0,0.22,0.06,0,1.01,-1.25,1.09,0.64,-0.64,0.41
2019,4,0.22,1.44,0.8,0.06,0.41,0.42,-0.47,-0.12,-0.1,-0.53,-0.15,-0.24
2019,all,0.77,-0.16,0.54,0.51,-0.13,0.45,0.79,-0.38,0.24,0.65,-0.37,0.24
