variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,model
b_Intercept,-0.21303424289468484,-0.2551398878001738,0.9160048906808714,0.34554664278072184,-1.4982852237656448,1.1538249788241557,1.0003399453649027,4776.754465466211,3230.8550477679587,GPP
b_temp.water,0.25741500008297535,0.256598501031958,0.058973745666832736,0.058258305521244245,0.1623853339087987,0.3565301163302985,1.0008154011879586,10359.298508546397,6698.188099821076,GPP
b_light,0.13769364543050436,0.13732480523321233,0.023250778928200856,0.02312181026233199,0.0998122241988368,0.17705833817009275,1.000461300350453,9546.303118740601,6959.371106347441,GPP
ar[1],0.8585660509231493,0.8585016977365554,0.015751860699849962,0.015824701647646412,0.832706577252169,0.8840114048340586,0.9998697902517165,7888.2768742220915,6278.382015813167,GPP
sd_site__Intercept,0.954785783851955,0.5279523594482661,1.1758918374671687,0.5866494795141663,0.03932786247533442,3.3007039894710215,1.0003490843171492,2545.7996856940536,3730.3403509136538,GPP
sigma,0.42859960073440034,0.42841338349115593,0.009786481187240938,0.0097914429833567,0.4128967844222585,0.445176596290687,1.0002389135975067,4821.3297165350195,5840.390050989448,GPP
"r_site[CBP,Intercept]",0.0579453773948352,0.04644964665732017,0.9149034946197957,0.33884202430392696,-1.2728454549348651,1.3791311567834101,1.0005122651091036,4755.61313871783,3181.138550826537,GPP
"r_site[NHC,Intercept]",-0.1196479618167447,-0.05507093329401688,0.9167704180186835,0.33714289056426305,-1.5001960560756427,1.1616223727531316,1.0004722203864234,4675.802539336947,3143.5260991104687,GPP
b_Intercept,0.3574420801965246,0.3916174803966372,1.3054891256694154,0.8642293928997942,-1.7178192707606652,2.402136967463793,1.000175723249321,5977.289600056405,4874.72596432464,ER
b_temp.water,0.43000292852573857,0.4289689576987653,0.08705608938726803,0.08711891022499944,0.2900952713555686,0.5747552598581523,1.0007279901128772,9758.050521396064,6631.896894928353,ER
b_mean_log_Q,-0.10915812203217397,-0.10775991182587734,0.06833971345083534,0.06620063887725665,-0.2242408546591712,-9.265449166343642e-4,1.001221382611613,11283.914177510283,5899.0503329207695,ER
b_light,-0.013350283060811716,-0.013178018746736873,0.018629592538125284,0.01846993084154906,-0.044162773897653516,0.01713153600503344,1.000653867225525,12036.812465211695,6881.3833859234755,ER
b_temp.water:mean_log_Q,-0.09374379105251344,-0.09349309020122724,0.039625267053041376,0.03994325808917374,-0.15967916707273772,-0.029387663466970155,1.0008750883415296,10170.258346272129,6656.859247459647,ER
ar[1],0.9061479009056735,0.9056869836192154,0.017372004419525227,0.017392368088718652,0.8783909741007033,0.9352649398213018,1.0000077441618527,5623.792578108943,4893.747268287764,ER
sigma,0.347141197594601,0.34684647195217366,0.008311139275885554,0.008254264636900021,0.33388774839637586,0.3610874980457253,1.0004855144428635,5387.742805965671,6255.693154230208,ER
